Date,Value,Factor,Keyword
1/4/2016,-21.61,Gas,SUNOCO
1/4/2016,-21.64,Gas,SUNOCO
1/11/2016,-24.77,Gas,CITGO-FRIENDLY
1/19/2016,-23,Gas,CITGO-FRIENDLY
1/19/2016,-21.3,Gas,SUNOCO
1/21/2016,-9.93,Gas,CITGO-FRIENDLY
1/28/2016,-5.74,Gas,CITGO-FRIENDLY
1/28/2016,-23.89,Gas,CITGO-FRIENDLY
2/2/2016,-5.74,Gas,CITGO-FRIENDLY
2/2/2016,-20.68,Gas,SUNOCO
2/8/2016,-15,Gas,SHELL
2/11/2016,-18.02,Gas,CITGO-FRIENDLY
2/16/2016,-10.07,Gas,CITGO-FRIENDLY
2/16/2016,-19.34,Gas,SUNOCO
2/17/2016,-23.67,Gas,SHELL
2/26/2016,-20.04,Gas,CITGO-FRIENDLY
3/7/2016,-15.06,Gas,CITGO-FRIENDLY
3/14/2016,-13.75,Gas,SUNOCO
3/14/2016,-16.5,Gas,SUNOCO
3/14/2016,-4.02,Gas,SUNOCO
3/15/2016,-21.7,Gas,SUNOCO
3/22/2016,-33.3,Gas,SHELL
3/25/2016,-15.05,Gas,SHELL
3/29/2016,-23.07,Gas,SUNOCO
4/4/2016,-21.24,Gas,SHELL
4/6/2016,-24.81,Gas,SHELL
4/8/2016,-19.97,Gas,SUNOCO
4/19/2016,-19.98,Gas,CITGO-FRIENDLY
4/22/2016,-26.09,Gas,SHELL
4/26/2016,-15,Gas,CITGO-FRIENDLY
4/26/2016,-23.54,Gas,SUNOCO
4/28/2016,-20,Gas,CITGO-FRIENDLY
5/2/2016,-25.38,Gas,SUNOCO
5/13/2016,-25.07,Gas,SUNOCO
5/23/2016,-6.76,Gas,CITGO-FRIENDLY
5/23/2016,-28.73,Gas,SHELL
5/24/2016,-20.09,Gas,SUNOCO
5/31/2016,-18.77,Gas,CITGO-FRIENDLY
6/2/2016,-28.97,Gas,SUNOCO
6/9/2016,-21.47,Gas,SUNOCO
6/10/2016,-23.15,Gas,CITGO-FRIENDLY
6/13/2016,-29,Gas,SHELL
6/16/2016,-20,Gas,CITGO-FRIENDLY
6/27/2016,-11.05,Gas,CITGO-FRIENDLY
6/29/2016,-29.61,Gas,SUNOCO
7/5/2016,-7.39,Gas,CITGO-FRIENDLY
7/5/2016,-4.04,Gas,CITGO-FRIENDLY
7/5/2016,-16.64,Gas,SHELL
7/11/2016,-20.55,Gas,CITGO-FRIENDLY
7/12/2016,-14.75,Gas,CITGO-FRIENDLY
7/14/2016,-15.88,Gas,CITGO-FRIENDLY
7/18/2016,-6.52,Gas,CITGO-FRIENDLY
7/18/2016,-26.94,Gas,CITGO-FRIENDLY
7/18/2016,-9.6,Gas,CITGO-FRIENDLY
7/27/2016,-25.81,Gas,CITGO-FRIENDLY
8/1/2016,-26.98,Gas,SUNOCO
8/1/2016,-13.77,Gas,SHELL
8/8/2016,-20.62,Gas,SHELL
8/15/2016,-25.13,Gas,CITGO-FRIENDLY
8/17/2016,-5.58,Gas,CITGO-FRIENDLY
8/18/2016,-34.89,Gas,CITGO-FRIENDLY
9/19/2016,-25.06,Gas,SUNOCO
9/23/2016,-33.3,Gas,SHELL
