Label	Year: Salary		stateyear
WA	"2005: $70,461"		
WA	"2006: $76,963"		
WA	"2007: $77,284"		
WA	"2008: $79,053"		
WA	"2009: $83,121"		
WA	"2010: $83,654"		
WA	"2011: $86,447"		
WA	"2012: $92,290"		
WA	"2013: $94,235"		
WA	"2014: $96,241"		
WA	"2015: $103,750"		
OR	"2005: $66,575"		
OR	"2006: $69,915"		
OR	"2007: $69,509"		
OR	"2008: $76,262"		
OR	"2009: $74,898"		
OR	"2010: $71,864"		
OR	"2011: $80,426"		
OR	"2012: $84,965"		
OR	"2013: $81,340"		
OR	"2014: $87,992"		
OR	"2015: $91,634"		
CA	"2005: $78,697"		
CA	"2006: $83,974"		
CA	"2007: $85,643"		
CA	"2008: $89,659"		
CA	"2009: $89,742"		
CA	"2010: $90,521"		
CA	"2011: $93,294"		
CA	"2012: $95,635"		
CA	"2013: $98,184"		
CA	"2014: $102,950"		
CA	"2015: $109,488"		
NV	"2005: $64,367"		
NV	"2006: $73,116"		
NV	"2007: $70,185"		
NV	"2008: $71,438"		
NV	"2009: $73,408"		
NV	"2010: $74,942"		
NV	"2011: $69,511"		
NV	"2012: $76,227"		
NV	"2013: $80,133"		
NV	"2014: $81,651"		
NV	"2015: $82,148"		
AZ	"2005: $68,320"		
AZ	"2006: $72,075"		
AZ	"2007: $67,784"		
AZ	"2008: $75,138"		
AZ	"2009: $76,393"		
AZ	"2010: $75,132"		
AZ	"2011: $74,559"		
AZ	"2012: $82,645"		
AZ	"2013: $84,860"		
AZ	"2014: $84,088"		
AZ	"2015: $90,585"		
NM	"2005: $61,744"		
NM	"2006: $65,879"		
NM	"2007: $61,144"		
NM	"2008: $71,095"		
NM	"2009: $68,680"		
NM	"2010: $75,094"		
NM	"2011: $71,333"		
NM	"2012: $82,259"		
NM	"2013: $75,814"		
NM	"2014: $83,563"		
NM	"2015: $78,340"		
TX	"2005: $67,274"		
TX	"2006: $70,199"		
TX	"2007: $72,900"		
TX	"2008: $75,295"		
TX	"2009: $78,027"		
TX	"2010: $78,438"		
TX	"2011: $83,751"		
TX	"2012: $85,672"		
TX	"2013: $89,026"		
TX	"2014: $89,793"		
TX	"2015: $92,389"		
OK	"2005: $57,746"		
OK	"2006: $57,508"		
OK	"2007: $63,775"		
OK	"2008: $62,786"		
