year,executiveGOP,senateGOP,houseGOP,powerCategory,powerByParty,power1,power2,power3,partyPower,powerByParty,executiveOrders,gdp2016USD,gdp2009chainedUSD,gdpGrowth,chainedGrowth,regGrowth,regPages,apprxEnactedLaws
1973,1,0,0,1a,1,1,0,0,1,1,64,"1,428.5","5,424.1",0.113927012,0.056443916,23.05%,"35,592",385.5
1974,1,0,0,1a,1,1,0,0,1,1,69,"1,548.8","5,396.0",0.084214211,-0.005180583,27.62%,"45,422",385.5
1975,1,0,0,1a,1,1,0,0,1,1,67,"1,688.9","5,385.4",0.090457128,-0.001964418,32.58%,"60,221",364
1976,1,0,0,1a,1,1,0,0,1,1,56,"1,877.6","5,675.4",0.111729528,0.053849296,-16.13%,"50,505",364
1977,1,0,0,1a,1,1,0,0,1,1,83,"2,086.0","5,937.0",0.110992757,0.046093667,14.42%,"57,787",402
1978,0,0,0,0a,0,0,0,1,3,0,78,"2,356.6","6,267.2",0.129721956,0.055617315,-3.62%,"55,696",402
1979,0,0,0,0a,0,0,0,1,3,0,77,"2,632.1","6,466.2",0.116905712,0.031752617,27.82%,"71,191",368
1980,0,0,0,0a,0,0,0,1,3,0,73,"2,862.5","6,450.4",0.087534668,-0.002443475,2.90%,"73,258",368
1981,1,1,0,2a,2,0,1,0,2,2,26,"3,211.0","6,617.7",0.121746725,0.025936376,-21.19%,"57,736",264.5
1982,1,1,0,2a,2,0,1,0,2,2,63,"3,345.0","6,491.3",0.041731548,-0.019100292,-8.02%,"53,104",264.5
1983,1,1,0,2a,2,0,1,0,2,2,57,"3,638.1","6,792.0",0.087623318,0.046323541,-0.16%,"53,018",338.5
1984,1,1,0,2a,2,0,1,0,2,2,41,"4,040.7","7,285.0",0.110662159,0.072585395,-8.25%,"48,643",338.5
1985,1,1,0,2a,2,0,1,0,2,2,45,"4,346.7","7,593.8",0.075729453,0.042388469,3.82%,"50,502",343.5
1986,1,1,0,2a,2,0,1,0,2,2,37,"4,590.2","7,860.5",0.056019509,0.035120756,-11.27%,"44,812",343.5
1987,1,0,0,1a,1,1,0,0,1,1,43,"4,870.2","8,132.6",0.060999521,0.034616119,4.96%,"47,033",380
1988,1,0,0,1a,1,1,0,0,1,1,40,"5,252.6","8,474.5",0.078518336,0.042040676,7.62%,"50,616",380
1989,1,0,0,1a,1,1,0,0,1,1,36,"5,657.7","8,786.4",0.07712371,0.036804531,-0.23%,"50,501",331.5
1990,1,0,0,1a,1,1,0,0,1,1,43,"5,979.6","8,955.0",0.056895912,0.019188746,-1.40%,"49,795",331.5
1991,1,0,0,1a,1,1,0,0,1,1,46,"6,174.0","8,948.4",0.032510536,-0.000737018,16.42%,"57,973",305
1992,1,0,0,1a,1,1,0,0,1,1,40,"6,539.3","9,266.6",0.059167477,0.03555943,-1.67%,"57,003",305
1993,0,0,0,0a,0,0,0,1,3,0,63,"6,878.7","9,521.0",0.05190158,0.027453435,7.30%,"61,166",236.5
1994,0,0,0,0a,0,0,0,1,3,0,54,"7,308.8","9,905.4",0.062526349,0.04037391,6.13%,"64,914",236.5
1995,0,1,1,2a,2,0,1,0,2,2,40,"7,664.1","10,174.8",0.048612631,0.027197286,-3.50%,"62,645",167.5
1996,0,1,1,2a,2,0,1,0,2,2,49,"8,100.2","10,561.0",0.056901658,0.03795652,3.11%,"64,591",167.5
1997,0,1,1,2a,2,0,1,0,2,2,38,"8,608.5","11,034.9",0.062751537,0.044872645,-0.07%,"64,549",202
1998,0,1,1,2a,2,0,1,0,2,2,38,"9,089.2","11,525.9",0.055840158,0.044495193,6.23%,"68,571",202
1999,0,1,1,2a,2,0,1,0,2,2,35,"9,660.6","12,065.9",0.062865819,0.046851005,3.78%,"71,161",302
2000,0,1,1,2a,2,0,1,0,2,2,41,"10,284.8","12,559.7",0.064612964,0.040925252,4.35%,"74,258",302
2001,1,0,1,2a,2,0,1,0,2,2,66,"10,621.8","12,682.2",0.032766801,0.009753418,-13.22%,"64,438",191.5
2002,1,0,1,2a,2,0,1,0,2,2,31,"10,977.5","12,908.8",0.033487733,0.017867562,17.33%,"75,606",191.5
2003,1,1,1,3a,3,0,0,1,3,3,41,"11,510.7","13,271.1",0.048572079,0.028066125,-5.74%,"71,269",252
2004,1,1,1,3a,3,0,0,1,3,3,45,"12,274.9","13,773.5",0.066390402,0.037856696,6.18%,"75,675",252
2005,1,1,1,3a,3,0,0,1,3,3,26,"13,093.7","14,234.2",0.066705228,0.033448288,-2.39%,"73,870",241.5
2006,1,1,1,3a,3,0,0,1,3,3,27,"13,855.9","14,613.8",0.058211201,0.026668165,1.44%,"74,937",241.5
2007,1,0,0,1a,1,1,0,0,1,1,32,"14,477.6","14,873.7",0.044868973,0.01778456,-3.80%,"72,090",230
2008,1,0,0,1a,1,1,0,0,1,1,30,"14,718.6","14,830.4",0.016646405,-0.002911179,10.19%,"79,435",230
2009,0,0,0,0a,0,0,0,1,3,0,44,"14,418.7","14,418.7",-0.020375579,-0.027760546,-13.64%,"68,598",192.5
2010,0,0,0,0a,0,0,0,1,3,0,35,"14,964.4","14,783.8",0.037846685,0.025321284,18.67%,"81,405",192.5
2011,0,0,1,1a,1,1,0,0,1,1,34,"15,517.9","15,020.6",0.036987784,0.016017533,-0.19%,"81,247",142
2012,0,0,1,1a,1,1,0,0,1,1,38,"16,155.3","15,354.6",0.041075145,0.022236129,-2.81%,"78,961",142
2013,0,0,1,1a,1,1,0,0,1,1,21,"16,691.5","15,612.2",0.033190346,0.016776731,0.44%,"79,311",148
2014,0,0,1,1a,1,1,0,0,1,1,31,"17,393.1","15,982.3",0.04203337,0.02370582,-2.05%,"77,687",148
2015,0,1,1,2a,2,0,1,0,2,2,28,"18,036.6","16,397.2",0.03699743,0.025959968,3.31%,"80,260",124
