year,regPages,powerCategory,GOPpower,partyConcentration
1937,"3,450",a,0,3
1938,"3,194",a,0,3
1939,"5,007",a,0,3
1940,"5,307",a,0,3
1941,"6,877",a,0,3
1942,"11,134",a,0,3
1943,"17,553",a,0,3
1944,"15,194",a,0,3
1945,"15,508",a,0,3
1946,"14,736",a,0,3
1947,"8,902",c,2,2
1948,"9,608",c,2,2
1949,"7,952",a,0,3
1950,"9,562",a,0,3
1951,"13,175",a,0,3
1952,"11,896",a,0,3
1953,"8,912",d,3,3
1954,"9,910",d,3,3
1955,"10,196",b,1,1
1956,"10,528",b,1,1
1957,"11,156",b,1,1
1958,"10,579",b,1,1
1959,"11,116",b,1,1
1960,"14,479",b,1,1
1961,"12,792",a,0,3
1962,"13,226",a,0,3
1963,"14,842",a,0,3
1964,"19,304",a,0,3
1965,"17,206",a,0,3
1966,"16,850",a,0,3
1967,"21,088",a,0,3
1968,"20,072",a,0,3
1969,"20,466",a,0,3
1970,"20,036",b,1,1
1971,"25,447",b,1,1
1972,"28,924",b,1,1
1973,"35,592",b,1,1
1974,"45,422",b,1,1
1975,"60,221",b,1,1
1976,"50,505",b,1,1
1977,"57,787",b,1,1
1978,"55,696",a,0,3
1979,"71,191",a,0,3
1980,"73,258",a,0,3
1981,"57,736",c,2,2
1982,"53,104",c,2,2
1983,"53,018",c,2,2
1984,"48,643",c,2,2
1985,"50,502",c,2,2
1986,"44,812",c,2,2
1987,"47,033",b,1,1
1988,"50,616",b,1,1
1989,"50,501",b,1,1
1990,"49,795",b,1,1
1991,"57,973",b,1,1
1992,"57,003",b,1,1
1993,"61,166",a,0,3
1994,"64,914",a,0,3
1995,"62,645",c,2,2
1996,"64,591",c,2,2
1997,"64,549",c,2,2
1998,"68,571",c,2,2
1999,"71,161",c,2,2
2000,"74,258",c,2,2
2001,"64,438",c,2,2
2002,"75,606",c,2,2
2003,"71,269",d,3,3
2004,"75,675",d,3,3
2005,"73,870",d,3,3
2006,"74,937",d,3,3
2007,"72,090",b,1,1
2008,"79,435",b,1,1
2009,"68,598",a,0,3
2010,"81,405",a,0,3
2011,"81,247",b,1,1
2012,"78,961",b,1,1
2013,"79,311",b,1,1
2014,"77,687",b,1,1
2015,"80,260",c,2,2
