year,executiveGOP,senateGOP,houseGOP,powerCategory,powerByParty,power1,power2,power3,partyPower,powerByParty,executiveOrders,gdp2016USD,gdp2009chainedUSD,gdpGrowth,chainedGrowth,regGrowth,regPages,apprxEnactedLaws,,is legal activism assoc w less gdp growth,
1913,0,0,0,0a,0,0,0,1,3,0,,,,,,,,,,is weak party power associated w more executive actions?,
1914,0,0,0,0a,0,0,0,1,3,0,,,,,,,,,,GDP data,http://www.bea.gov/national/index.htm#gdp
1915,0,0,0,0a,0,0,0,1,3,0,,,,,,,,,,legal stats,https://www.brookings.edu/wp-content/uploads/2016/06/Vital-Statistics-Chapter-6-Legislative-Productivity-in-Congress-and-Workload_UPDATE.pdf
1916,0,0,0,0a,0,0,0,1,3,0,,,,,,,,,,apprxEnactedLaws,https://www.govtrack.us/congress/bills/browse
1917,0,0,0,0a,0,0,0,1,3,0,,,,,,,,,,apprxEnactedLaws note: x bills per Congressional period (2 years) divided by 2 yields annual estimate,
1918,0,0,0,0a,0,0,0,1,3,0,,,,,,,,,,"executive orders 1934 - 1962, 1990 - 2015",https://en.wikipedia.org/w/index.php?title=List_of_United_States_federal_executive_orders&oldid=752154862
1919,0,1,1,2a,2,0,1,0,2,2,,,,,,,,,,executive orders 1963 - 1989,https://www.archives.gov/federal-register/executive-orders/disposition.html
1920,0,1,1,2a,2,0,1,0,2,2,,,,,,,,,,"Pages in the Federal Register, 1936 - 2015",https://regulatorystudies.columbian.gwu.edu/reg-stats
1921,1,1,1,3a,3,0,0,1,3,3,,,,,,,,,,,
1922,1,1,1,3a,3,0,0,1,3,3,,,,,,,,,,,
1923,1,1,1,3a,3,0,0,1,3,3,,,,,,,,,,,
1924,1,1,1,3a,3,0,0,1,3,3,,,,,,,,,,,
1925,1,1,1,3a,3,0,0,1,3,3,,,,,,,,,,,
1926,1,1,1,3a,3,0,0,1,3,3,,,,,,,,,,,
1927,1,1,1,3a,3,0,0,1,3,3,,,,,,,,,,,
1928,1,1,1,3a,3,0,0,1,3,3,,,,,,,,,,,
1929,1,1,1,3a,3,0,0,1,3,3,,104.6,"1,056.6",,,,,,,,
1930,1,1,1,3a,3,0,0,1,3,3,,92.2,966.7,-0.118546845,-0.085084232,,,,,,
1931,1,1,0,2a,2,0,1,0,2,2,,77.4,904.8,-0.160520607,-0.064032275,,,,,,
1932,1,1,0,2a,2,0,1,0,2,2,,59.5,788.2,-0.23126615,-0.128868258,,,,,,
1933,0,0,0,0a,0,0,0,1,3,0,,57.2,778.3,-0.038655462,-0.012560264,,,,,,
1934,0,0,0,0a,0,0,0,1,3,0,474,66.8,862.2,0.167832168,0.107799049,,,,,,
1935,0,0,0,0a,0,0,0,1,3,0,394,74.3,939.0,0.112275449,0.089074461,,,,,,
1936,0,0,0,0a,0,0,0,1,3,0,274,84.9,"1,060.5",0.142664872,0.129392971,,"2,620",,,,
1937,0,0,0,0a,0,0,0,1,3,0,253,93.0,"1,114.6",0.09540636,0.051013673,31.68%,"3,450",,,,
1938,0,0,0,0a,0,0,0,1,3,0,247,87.4,"1,077.7",-0.060215054,-0.033106047,-7.42%,"3,194",,,,
1939,0,0,0,0a,0,0,0,1,3,0,287,93.5,"1,163.6",0.06979405,0.079706783,56.76%,"5,007",,,,
1940,0,0,0,0a,0,0,0,1,3,0,309,102.9,"1,266.1",0.100534759,0.08808869,5.99%,"5,307",,,,
