year,gdp-growth,broad-money-growth,broad-money-share-gdp,broad-money-level,broad-money-reserves-ratio,labor-force-participation-rate,labor-force-level,population-level,labor-force-population-interaction
1980,-0.244596225,10.67932543,69.38017576,1.99E+12,11.58614387,63.70000076,,227225000,
1981,2.594470388,12.06443469,69.3130644,2.23E+12,17.96191518,63.90000153,,229466000,
1982,-1.910891068,10.03220687,73.21066036,2.45E+12,17.0720156,64,,231664000,
1983,4.632457181,8.27125759,72.87916865,2.65E+12,21.53719943,64,,233792000,
1984,7.259086959,12.53332147,73.84272945,2.98E+12,28.45578299,64.40000153,,235825000,
1985,4.238737521,8.293098837,74.33636381,3.23E+12,27.38726191,64.80000305,,237924000,
1986,3.511614499,9.375452618,76.99400129,3.53E+12,25.26485366,65.30000305,,240133000,
1987,3.461747692,4.064520291,75.51593697,3.68E+12,22.73912141,65.59999847,,242289000,
1988,4.203971979,6.790980453,74.77299463,3.93E+12,27.24117747,65.90000153,,244499000,
1989,3.680524033,5.317363403,73.1108952,4.14E+12,24.53614908,66.5,,246819000,
1990,1.919370297,2.677963151,71.02764086,4.25E+12,24.53678769,66.5,128187674,249623000,31998591746902000
1991,-0.074084531,1.500508222,69.82280493,4.31E+12,27.06607171,66.19999695,128775875,252981000,32577849633375000
1992,3.555396148,-0.153170227,65.82184115,4.30E+12,29.17650361,66.40000153,131047302,256514000,33615467625228000
1993,2.745856719,0.59642863,62.94717998,4.33E+12,26.30272071,66.30000305,132506408,259919000,34440933060952000
1994,4.037643425,0.404668959,59.48319515,4.35E+12,26.57536914,66.59999847,134973525,263126000,35515043739150000
1995,2.718975789,6.86921921,60.62216371,4.65E+12,26.39907608,66.59999847,136898357,266278000,36453020705246000
1996,3.795881229,7.865489455,61.86956348,5.01E+12,31.19352211,66.80000305,138936079,269394000,37428546066126000
1997,4.487026493,8.003497514,62.87564115,5.41E+12,40.14253175,67.09999847,141406624,272657000,38555505879968000
1998,4.449910963,9.601898069,65.26864725,5.93E+12,40.6309856,67.09999847,143515140,275854000,39589225429560000
1999,4.685199608,9.508532583,67.24678447,6.50E+12,47.61052592,67.09999847,145427290,279040000,40580031001600000
2000,4.092176449,8.110464485,68.28879843,7.02E+12,54.69919105,67.09999847,147304598,282162411,41563820523065800
2001,0.975981834,7.932796166,71.36721714,7.58E+12,58.27716459,66.80000305,148424613,284968955,42296406862889400
2002,1.786127687,4.452193306,72.12925186,7.92E+12,50.18925229,66.59999847,149157182,287625193,42901363260086100
2003,2.806775956,4.403693664,71.81756691,8.27E+12,44.92168647,66.19999695,149776167,290107933,43451254221032800
2004,3.78574285,5.742045727,71.21312527,8.74E+12,45.89487182,66,150794965,292805298,44153564663724600
2005,3.345216063,8.073506121,72.14977675,9.45E+12,50.18131661,66,152846134,295516599,45168569689978300
2006,2.666625826,9.002823932,74.31930255,1.03E+13,46.5767765,66.19999695,154681870,298379912,46153962758595400
2007,1.77857024,11.71348938,79.45916254,1.15E+13,41.44784985,66,155925413,301231207,46969600359963500
2008,-0.291621459,8.175104501,84.54792597,1.24E+13,42.32082539,66,157733269,304093966,47965735340354900
2009,-2.775529574,5.508085437,91.05994675,1.31E+13,32.49129356,65.40000153,157982313,306771529,48464475713966600
2010,2.531920616,-2.741149245,85.33463009,1.28E+13,26.11792284,64.69999695,157632512,309346863,48763123094009900
2011,1.601454672,6.674372666,87.78296123,1.36E+13,25.35441048,64.09999847,157979096,311718857,49245063235013300
2012,2.224030854,4.900955893,88.45238178,1.43E+13,24.88333945,63.70000076,159324840,314102623,50044350153055300
2013,1.489524949,4.36328269,89.49807947,1.49E+13,33.25063549,63.20000076,159815818,316427395,50570102969534100
2014,2.427795636,5.082576052,90.33386406,1.57E+13,36.07410171,62.90000153,161074378,318907401,51367811255671600
2015,2.425970526,3.441157359,90.32404868,1.62E+13,42.24459401,,,321418820,
