country,outflowMillions,year
Austria,2017,2010
Belgium,4184.9,2010
Bulgaria,20.3,2010
Croatia,235.9,2010
Cyprus,952.2,2010
Czech Republic,1497,2010
Denmark,2825.6,2010
Estonia,123.3,2010
Finland,721,2010
France,12029.1,2010
Germany,14685,2010
Greece,1932.3,2010
Hungary,1133.3,2010
Ireland,2266.6,2010
Italy,12885.7,2010
Latvia,443,2010
Lithuania,552.5,2010
Luxembourg,10644.5,2010
Malta,1611.8,2010
Netherlands,9398,2010
Poland,1306,2010
Portugal,505.8,2010
Romania,88.2,2010
Slovak Republic,70,2010
Slovenia,196.2,2010
Spain,433.7,2010
Sweden,819.6,2010
United Kingdom,9565.1,2010
Macedonia,22.6,2010
Norway,4118.5,2010
Switzerland,16878.3,2010
Australia,4655.5,2010
Brazil,1023.7,2010
China,1455,2010
India,3828.7,2010
Japan,4365.7,2010
Korea,9123,2010
New Zealand,533.9,2010
Russian Federation,21454,2010
United States,50776,2010
Austria,2613.1,2011
Belgium,4556.5,2011
Bulgaria,23.6,2011
Croatia,248.7,2011
Cyprus,894.9,2011
Czech Republic,1522.1,2011
Denmark,3133.7,2011
Estonia,113.5,2011
Finland,444.9,2011
France,12849.1,2011
Germany,16566.4,2011
Greece,1940.5,2011
Hungary,1194.8,2011
Ireland,2193.5,2011
Italy,14500.9,2011
Latvia,559.2,2011
Lithuania,1025.6,2011
Luxembourg,11720.3,2011
Malta,1126.6,2011
Netherlands,10246,2011
Poland,1395,2011
Portugal,627.3,2011
Romania,127.8,2011
Slovak Republic,69.7,2011
Slovenia,197.8,2011
Spain,456.1,2011
Sweden,1069.7,2011
United Kingdom,9931.1,2011
Macedonia,24.7,2011
Norway,4427,2011
Switzerland,21588,2011
Australia,6597.6,2011
Brazil,1123.8,2011
China,1618,2011
India,4077.7,2011
Japan,4536.2,2011
Korea,9585.9,2011
New Zealand,609.8,2011
Russian Federation,26010.5,2011
United States,50556,2011
Austria,2519.9,2012
Belgium,4238.8,2012
Bulgaria,27.6,2012
Croatia,247.5,2012
Cyprus,760,2012
Czech Republic,1334.6,2012
Denmark,2949.4,2012
Estonia,113.2,2012
Finland,774.7,2012
France,12565.6,2012
Germany,15532.6,2012
Greece,1437.9,2012
Hungary,1088.6,2012
Ireland,1996.1,2012
Italy,11825.7,2012
Latvia,569.2,2012
Lithuania,1135,2012
Luxembourg,11268.7,2012
Malta,1079.9,2012
Netherlands,9576,2012
Poland,1521,2012
Portugal,499.4,2012
Romania,116.3,2012
Slovak Republic,154.2,2012
Slovenia,186.5,2012
Spain,379.3,2012
Sweden,1044.5,2012
United Kingdom,10077.4,2012
Macedonia,23.9,2012
Norway,5099.6,2012
Switzerland,21966.5,2012
Australia,7288,2012
Brazil,1063.7,2012
China,1788,2012
India,4963.1,2012
Japan,4042.6,2012
Korea,9380.3,2012
New Zealand,661.6,2012
Russian Federation,31647.7,2012
United States,52652,2012
Austria,3895.9,2013
Belgium,4481.6,2013
Bulgaria,21.3,2013
Croatia,267.4,2013
Cyprus,741.8,2013
Czech Republic,1079.2,2013
Denmark,3059.9,2013
Estonia,100.3,2013
Finland,835.1,2013
France,13317.6,2013
Germany,19870,2013
Greece,1291.1,2013
Hungary,1100,2013
Ireland,1957.7,2013
Italy,11629.3,2013
Latvia,607.5,2013
Lithuania,851.9,2013
Luxembourg,12262.4,2013
Malta,1047.2,2013
Netherlands,9806.9,2013
Poland,1557,2013
Portugal,492.8,2013
Romania,547,2013
Slovak Republic,175.3,2013
Slovenia,203.2,2013
Spain,332.2,2013
Sweden,1518,2013
United Kingdom,10528.1,2013
Macedonia,24.4,2013
Norway,5778.7,2013
Switzerland,23288.7,2013
Australia,7353.4,2013
Brazil,1150.2,2013
China,1714,2013
India,6412.8,2013
Japan,2872.3,2013
Korea,8990.9,2013
New Zealand,707.9,2013
Russian Federation,37216.7,2013
United States,55469,2013
Austria,4037.3,2014
Belgium,4497.1,2014
Bulgaria,22.1,2014
Croatia,297.2,2014
Cyprus,750.8,2014
Czech Republic,822.3,2014
Denmark,3152,2014
Estonia,113.9,2014
Finland,835.4,2014
France,13834.9,2014
Germany,20836.2,2014
Greece,1424,2014
Hungary,1053.3,2014
Ireland,1959.5,2014
Italy,11153.8,2014
Latvia,615.1,2014
Lithuania,904.6,2014
Luxembourg,12699.6,2014
Malta,1026.5,2014
Netherlands,9945.3,2014
Poland,2185,2014
Portugal,441.7,2014
Romania,638.2,2014
Slovak Republic,225.4,2014
Slovenia,215.1,2014
Spain,363.4,2014
Sweden,1427.3,2014
United Kingdom,11569.4,2014
Macedonia,24,2014
Norway,5821.6,2014
Switzerland,24693,2014
Australia,6999.9,2014
Brazil,1538.8,2014
China,4155,2014
India,6222.1,2014
Japan,4214.8,2014
Korea,9570.5,2014
New Zealand,709,2014
Russian Federation,32640.4,2014
United States,56311,2014
