country,outflowMillions,year
Austria,1518,2002
Belgium,1843,2002
Bulgaria,14.5,2002
Croatia,66.7,2002
Cyprus,116.6,2002
Czech Republic,898.2,2002
Denmark,860,2002
Estonia,4.8,2002
Finland,113,2002
France,3810,2002
Germany,10403,2002
Greece,412,2002
Hungary,106.7,2002
Ireland,588,2002
Italy,3582.2,2002
Latvia,7.6,2002
Lithuania,31.3,2002
Luxembourg,3952.6,2002
Malta,11.3,2002
Netherlands,2893,2002
Poland,353,2002
Portugal,792,2002
Romania,7,2002
Slovak Republic,11.6,2002
Slovenia,46.1,2002
Spain,3792,2002
Sweden,508,2002
United Kingdom,2438,2002
Macedonia,23.3,2002
Norway,923,2002
Switzerland,9230,2002
Australia,1219,2002
Brazil,360.5,2002
China,1223,2002
India,1187,2002
Japan,3345,2002
Korea,5843.8,2002
New Zealand,393.1,2002
Russian Federation,2226,2002
United States,40200,2002
Austria,1874,2003
Belgium,2326,2003
Bulgaria,12.6,2003
Croatia,98.5,2003
Cyprus,202,2003
Czech Republic,1102.6,2003
Denmark,1030,2003
Estonia,18.5,2003
Finland,149,2003
France,4390,2003
Germany,11886,2003
Greece,380,2003
Hungary,114.1,2003
Ireland,787.9,2003
Italy,4366.6,2003
Latvia,8.3,2003
Lithuania,41.9,2003
Luxembourg,5010.6,2003
Malta,12.9,2003
Netherlands,4236,2003
Poland,325,2003
Portugal,936,2003
Romania,8,2003
Slovak Republic,16,2003
Slovenia,66.3,2003
Spain,5141,2003
Sweden,496,2003
United Kingdom,2626,2003
Macedonia,16.1,2003
Norway,1430,2003
Switzerland,11450,2003
Australia,1777,2003
Brazil,333.2,2003
China,1597,2003
India,1265,2003
Japan,1773,2003
Korea,7932.3,2003
New Zealand,605.3,2003
Russian Federation,3237,2003
United States,40000,2003
Austria,2226,2004
Belgium,2620,2004
Bulgaria,29.4,2004
Croatia,99.9,2004
Cyprus,255.2,2004
Czech Republic,1435.2,2004
Denmark,1230,2004
Estonia,26.5,2004
Finland,225,2004
France,4260,2004
Germany,13003,2004
Greece,497,2004
Hungary,814.1,2004
Ireland,997.4,2004
Italy,5513.2,2004
Latvia,13.1,2004
Lithuania,27.6,2004
Luxembourg,6002.1,2004
Malta,21.1,2004
Netherlands,5034,2004
Poland,658,2004
Portugal,1164,2004
Romania,8,2004
Slovak Republic,21.9,2004
Slovenia,80.2,2004
Spain,6975,2004
Sweden,545,2004
United Kingdom,3552,2004
Macedonia,16.2,2004
Norway,1750,2004
Switzerland,12920,2004
Australia,2253,2004
Brazil,401.1,2004
China,1996,2004
India,1653,2004
Japan,1411,2004
Korea,8306,2004
New Zealand,858.4,2004
Russian Federation,5180,2004
United States,43400,2004
Austria,2119.6,2005
Belgium,2427.2,2005
Bulgaria,35.5,2005
Croatia,137.6,2005
Cyprus,240.7,2005
Czech Republic,1162.5,2005
Denmark,1487.6,2005
Estonia,50.4,2005
Finland,266.4,2005
France,9474.9,2005
Germany,12709.6,2005
Greece,902.4,2005
Hungary,911.6,2005
Ireland,1440.6,2005
Italy,7545.8,2005
Latvia,491.4,2005
Lithuania,259,2005
Luxembourg,6699.5,2005
Malta,192.3,2005
Netherlands,4547.1,2005
Poland,621,2005
Portugal,436,2005
Romania,22.3,2005
Slovak Republic,50,2005
Slovenia,90.5,2005
Spain,733.2,2005
Sweden,536.8,2005
United Kingdom,9643.1,2005
Macedonia,15.5,2005
Norway,2174,2005
Switzerland,9986,2005
Australia,1531.1,2005
Brazil,374,2005
China,1817,2005
India,1348.3,2005
Japan,1149.5,2005
Korea,6667.3,2005
New Zealand,647.3,2005
Russian Federation,6827.2,2005
United States,47254,2005
Austria,1405.8,2006
Belgium,2563.6,2006
Bulgaria,49.6,2006
Croatia,183.5,2006
Cyprus,239.5,2006
Czech Republic,1460.3,2006
Denmark,1766.1,2006
Estonia,75.4,2006
Finland,436.7,2006
France,10281.3,2006
Germany,12699.5,2006
Greece,981.9,2006
Hungary,981.2,2006
Ireland,1852.6,2006
Italy,8351.8,2006
Latvia,892.1,2006
Lithuania,425.8,2006
Luxembourg,7560.8,2006
Malta,222.7,2006
Netherlands,6076.2,2006
Poland,694,2006
Portugal,444.8,2006
Romania,40.7,2006
Slovak Republic,58.9,2006
Slovenia,139.8,2006
Spain,793.9,2006
Sweden,584.7,2006
United Kingdom,10645.7,2006
Macedonia,17.8,2006
Norway,2596.9,2006
Switzerland,10705.1,2006
Australia,2051.2,2006
Brazil,529.3,2006
China,2330,2006
India,1561.9,2006
Japan,3332.2,2006
Korea,7215.1,2006
New Zealand,552,2006
Russian Federation,12104.4,2006
United States,50756,2006
