country,outflowMillions,year
Austria,1593.9,2007
Belgium,3202.2,2007
Bulgaria,102.6,2007
Croatia,237,2007
Cyprus,304.7,2007
Czech Republic,2075.2,2007
Denmark,3019.6,2007
Estonia,92.6,2007
Finland,553.4,2007
France,11947.2,2007
Germany,14081.9,2007
Greece,1459.8,2007
Hungary,1367.4,2007
Ireland,2520.4,2007
Italy,11182,2007
Latvia,1117.7,2007
Lithuania,566.9,2007
Luxembourg,9370.2,2007
Malta,258.6,2007
Netherlands,10085.9,2007
Poland,1018,2007
Portugal,345.6,2007
Romania,55,2007
Slovak Republic,81.9,2007
Slovenia,247.9,2007
Spain,897.4,2007
Sweden,885.2,2007
United Kingdom,11596.6,2007
Macedonia,24.9,2007
Norway,3577.1,2007
Switzerland,12247.7,2007
Australia,2980.9,2007
Brazil,562.6,2007
China,2493,2007
India,2059.3,2007
Japan,3639.4,2007
Korea,7723.1,2007
New Zealand,622.6,2007
Russian Federation,19880.6,2007
United States,52650,2007
Austria,1913.3,2008
Belgium,4124.2,2008
Bulgaria,161.8,2008
Croatia,267.2,2008
Cyprus,817.4,2008
Czech Republic,2586.1,2008
Denmark,3976.5,2008
Estonia,97.9,2008
Finland,685,2008
France,13269.1,2008
Germany,15233.8,2008
Greece,1911.7,2008
Hungary,1526.3,2008
Ireland,2672.5,2008
Italy,14445.3,2008
Latvia,913.4,2008
Lithuania,652.2,2008
Luxembourg,11006.4,2008
Malta,1320.2,2008
Netherlands,12696,2008
Poland,1474,2008
Portugal,387.9,2008
Romania,168.5,2008
Slovak Republic,152.7,2008
Slovenia,380,2008
Spain,748.9,2008
Sweden,914.7,2008
United Kingdom,11211.8,2008
Macedonia,33,2008
Norway,4750,2008
Switzerland,14458.7,2008
Australia,3366.4,2008
Brazil,813.1,2008
China,2736,2008
India,3812.4,2008
Japan,4548.1,2008
Korea,7545.2,2008
New Zealand,624.3,2008
Russian Federation,29718.8,2008
United States,55527,2008
Austria,1881.5,2009
Belgium,4479.4,2009
Bulgaria,101.2,2009
Croatia,235.2,2009
Cyprus,694.3,2009
Czech Republic,2044.6,2009
Denmark,3425.2,2009
Estonia,92.4,2009
Finland,686.1,2009
France,11757.1,2009
Germany,15324,2009
Greece,1843,2009
Hungary,1192.2,2009
Ireland,2548.7,2009
Italy,14390.1,2009
Latvia,672.8,2009
Lithuania,679.3,2009
Luxembourg,10725,2009
Malta,1861.3,2009
Netherlands,11662.5,2009
Poland,1154,2009
Portugal,517.7,2009
Romania,64.4,2009
Slovak Republic,138.1,2009
Slovenia,245.7,2009
Spain,556.8,2009
Sweden,822.2,2009
United Kingdom,9274.8,2009
Macedonia,26.3,2009
Norway,4174.1,2009
Switzerland,14906.4,2009
Australia,3224.4,2009
Brazil,730.9,2009
China,2052,2009
India,2890,2009
Japan,3932,2009
Korea,7152.7,2009
New Zealand,524.5,2009
Russian Federation,21147.7,2009
United States,50723,2009
