RT,SERIALNO,DIVISION,PUMA,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPE,ACCESS,ACR,AGS,BATH,BDSP,BLD,BROADBND,BUS,COMPOTHX,CONP,DIALUP,DSL,ELEP,FIBEROP,FS,FULP,GASP,HANDHELD,HFL,INSP,LAPTOP,MHP,MODEM,MRGI,MRGP,MRGT,MRGX,OTHSVCEX,REFR,RMSP,RNTM,RNTP,RWAT,RWATPR,SATELLITE,SINK,SMP,STOV,TEL,TEN,TOIL,VACS,VALP,VEH,WATP,YBL,FES,FFINCP,FGRNTP,FHINCP,FINCP,FPARC,FPLMPRP,FSMOCP,GRNTP,GRPIP,HHL,HHT,HINCP,HOTWAT,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,PLMPRP,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,SSMC,SVAL,TAXP,WIF,WKEXREL,WORKSTAT,FACCESSP,FACRP,FAGSP,FBATHP,FBDSP,FBLDP,FBROADBNDP,FBUSP,FCOMPOTHXP,FCONP,FDIALUPP,FDSLP,FELEP,FFIBEROPP,FFSP,FFULP,FGASP,FHANDHELDP,FHFLP,FHOTWATP,FINSP,FKITP,FLAPTOPP,FMHP,FMODEMP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,FOTHSVCEXP,FPLMP,FREFRP,FRMSP,FRNTMP,FRNTP,FRWATP,FRWATPRP,FSATELLITEP,FSINKP,FSMP,FSMXHP,FSMXSP,FSTOVP,FTAXP,FTELP,FTENP,FTOILP,FVACSP,FVALP,FVEHP,FWATP,FYBLP,wgtp1,wgtp2,wgtp3,wgtp4,wgtp5,wgtp6,wgtp7,wgtp8,wgtp9,wgtp10,wgtp11,wgtp12,wgtp13,wgtp14,wgtp15,wgtp16,wgtp17,wgtp18,wgtp19,wgtp20,wgtp21,wgtp22,wgtp23,wgtp24,wgtp25,wgtp26,wgtp27,wgtp28,wgtp29,wgtp30,wgtp31,wgtp32,wgtp33,wgtp34,wgtp35,wgtp36,wgtp37,wgtp38,wgtp39,wgtp40,wgtp41,wgtp42,wgtp43,wgtp44,wgtp45,wgtp46,wgtp47,wgtp48,wgtp49,wgtp50,wgtp51,wgtp52,wgtp53,wgtp54,wgtp55,wgtp56,wgtp57,wgtp58,wgtp59,wgtp60,wgtp61,wgtp62,wgtp63,wgtp64,wgtp65,wgtp66,wgtp67,wgtp68,wgtp69,wgtp70,wgtp71,wgtp72,wgtp73,wgtp74,wgtp75,wgtp76,wgtp77,wgtp78,wgtp79,wgtp80
H,16198,2,906,1,36,1000000,1001264,0,1,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,32358,2,4015,1,36,1000000,1001264,32,4,1,1,,,1,2,5,2,,2,,2,2,70,2,2,2,20,1,1,,1,,1,,,,,2,1,4,2,1100,1,9,2,1,,1,1,3,1,,,1,1,1,1,1,1,1,57300,2,0,,1190,25,3,1,57300,9,0,2,2,2,1,1,1,4,1,4,0,0,1,,0,1,9,0,1,0,0,2,,,1,0,0,,3,2,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,54,9,35,34,33,62,9,30,30,54,28,55,50,8,11,33,32,34,58,30,9,59,31,31,33,9,52,29,32,8,37,11,7,52,55,31,30,33,55,32,9,52,33,32,31,10,51,32,32,9,37,10,10,50,55,29,31,35,9,31,57,8,28,33,29,54,9,29,32,51,32,62,53,9,10,29,29,35,9
H,48665,2,2300,1,36,1000000,1001264,127,1,1,3,,,1,1,6,,,2,,,,100,,1,2,2,1,2,,2,,,,,,,,1,3,2,830,1,9,,1,,1,1,3,1,,,0,2,4,,0,0,1,,,0,,930,55,1,6,20200,9,0,4,4,4,1,1,1,1,0,,0,0,0,,0,1,9,0,0,0,0,3,,,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,216,210,139,169,129,103,99,37,120,216,34,148,32,93,259,127,150,44,42,155,176,219,137,121,123,154,158,32,92,227,39,106,38,143,212,161,199,35,32,96,248,164,127,147,182,135,133,46,143,189,34,127,42,97,212,117,212,40,37,162,184,222,124,115,110,152,148,37,99,229,41,112,37,163,302,127,166,41,50
H,65467,2,3810,1,36,1000000,1001264,149,2,1,1,,,1,2,9,1,,2,,2,1,140,2,2,2,1,1,1,,1,,2,,,,,2,1,4,2,1900,1,9,2,1,,1,1,3,1,,,0,1,5,7,0,0,0,82000,2,0,,2040,30,4,3,82000,9,0,2,2,2,1,1,1,5,1,2,0,0,1,,0,1,9,0,1,0,0,3,,,1,0,0,,1,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,46,170,38,243,150,47,49,139,136,173,147,162,261,135,58,272,151,244,295,155,54,143,41,271,153,40,44,132,110,150,136,128,230,163,48,206,185,252,266,225,43,145,57,258,136,44,38,150,139,151,160,160,234,155,33,247,143,227,254,140,40,154,47,205,159,44,45,175,145,142,197,158,253,151,44,257,132,229,241
H,81332,2,4103,1,36,1000000,1001264,0,1,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,97411,2,1207,1,36,1000000,1001264,119,3,1,1,1,,1,3,2,2,2,2,,2,2,60,1,2,2,70,1,1,,1,,2,,,,,2,1,5,2,1300,1,9,2,1,,1,1,3,1,,,1,30,5,7,0,0,0,47500,2,0,,1433,36,1,3,47500,9,0,2,2,2,1,1,1,1,2,3,0,0,2,,0,1,9,0,1,0,0,1,,,1,0,0,,1,13,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,115,35,208,210,220,213,38,134,109,197,37,108,119,33,127,129,39,133,119,127,112,34,204,191,216,199,33,135,116,209,39,122,105,33,126,107,36,119,125,110,122,213,36,37,39,34,208,110,134,35,187,121,137,209,117,112,221,119,133,123,108,198,34,36,34,36,189,114,124,34,223,121,110,205,114,101,201,133,128
H,114153,2,4011,1,36,1000000,1001264,249,2,1,1,,,1,2,6,1,,1,,2,2,80,2,2,2,20,1,1,,1,,2,,,,,2,1,4,2,1100,1,9,1,1,,1,1,3,1,,,0,2,3,5,0,0,0,60000,2,0,,1200,24,1,2,60000,9,0,2,2,2,1,1,1,3,1,2,0,0,1,,0,1,9,0,1,0,0,2,,,1,0,0,,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,233,384,278,261,228,422,260,372,74,267,78,294,277,263,78,65,440,245,62,255,74,284,73,59,438,233,434,318,285,409,234,360,59,84,283,239,245,499,276,427,266,410,266,267,261,415,240,404,79,265,76,264,272,250,78,61,375,258,65,258,68,273,66,65,392,248,441,281,250,405,261,422,68,84,271,254,238,466,250,415
H,129845,2,906,1,36,1000000,1001264,132,3,1,1,1,,1,3,2,1,2,2,0,2,1,300,2,2,2,50,1,3,200,1,,2,2,200,2,1,2,1,6,,,1,9,2,1,,1,1,1,1,,1200,1,400,3,7,0,,0,55500,2,0,1,,,1,3,55500,9,0,2,2,2,1,1,1,3,2,3,0,0,2,21,0,1,9,0,1,0,0,3,975,3,0,0,1,57,2,13,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,221,215,127,124,126,125,124,39,44,46,131,245,149,45,136,125,39,141,216,42,37,38,129,135,141,133,117,221,203,233,146,40,144,236,152,151,208,131,39,204,222,234,139,143,118,128,133,35,41,37,126,233,127,40,125,137,46,151,215,35,39,37,147,138,136,128,137,219,207,217,121,33,152,247,148,147,205,145,48,201
H,146254,2,3202,1,36,1000000,1001264,72,3,1,1,1,,1,3,2,1,2,1,0,2,2,200,1,2,2,150,1,1,1500,1,,1,,,,3,2,1,6,,,1,9,2,1,,1,1,2,1,,700000,2,100,2,1,1,,1,431000,1,0,0,,,1,1,431000,9,0,1,1,1,1,1,1,4,1,3,0,0,1,5,0,1,9,0,1,0,0,2,1650,,0,0,1,68,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,62,20,65,76,115,72,129,68,122,71,71,21,78,80,21,119,118,24,24,82,21,77,122,22,77,21,66,112,78,122,19,68,115,137,74,72,78,77,68,125,72,111,70,73,20,69,19,77,20,68,73,112,78,83,120,24,22,135,129,70,121,66,20,120,65,137,77,22,70,20,128,68,22,22,74,76,80,78,75
H,162907,2,3303,1,36,1000000,1001264,40,1,1,3,1,,1,4,2,,2,2,0,,,150,,2,2,220,2,1,4700,2,,,,,,3,,1,8,,,1,9,,1,,1,1,2,1,,549000,1,350,5,,0,,0,,,0,1,,,1,6,54500,9,0,4,4,4,1,1,1,5,0,,0,0,0,39,0,1,9,0,0,1,1,1,1791,,0,0,1,68,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,39,39,13,35,37,37,81,38,38,13,73,11,9,34,41,76,70,11,49,11,42,43,71,37,37,39,13,35,43,78,12,72,61,34,49,12,13,63,43,79,41,41,11,42,42,39,65,42,36,11,70,11,13,41,39,72,73,11,34,12,40,36,63,45,42,41,10,53,35,61,13,69,71,44,35,11,13,73,35,62
