Date1,Approval,Date2,Hillary,BaseLineDate,Date1Diff,Date2Diff,approval_avg,hillary_avg
1-Jan,43,4-Jan,-3,1/1/2016,0,3,42.5,-3
2-Jan,44,9-Jan,10,1/1/2016,1,8,47.5,10
2-Jan,47,2-Feb,5,1/1/2016,1,32,45,6
4-Jan,43,2-Feb,7,1/1/2016,3,40,44,1
4-Jan,42,10-Feb,1,1/1/2016,3,41,42.3,-2
7-Jan,46,11-Feb,-2,1/1/2016,6,45,49,5
7-Jan,46,15-Feb,5,1/1/2016,6,54,47,8
9-Jan,47,24-Feb,8,1/1/2016,8,59,,5
9-Jan,48,29-Feb,5,1/1/2016,8,62,50,11
15-Jan,43,3-Mar,9,1/1/2016,14,75,49,6
15-Jan,45,3-Mar,13,1/1/2016,14,76,49.5,10.7
16-Jan,45,16-Mar,6,1/1/2016,15,78,47.5,18
18-Jan,45,17-Mar,10,1/1/2016,17,79,48,11
21-Jan,47,17-Mar,12,1/1/2016,20,83,47,7
21-Jan,50,17-Mar,10,1/1/2016,20,87,48,12
22-Jan,49,19-Mar,18,1/1/2016,21,88,50,9
27-Jan,42,20-Mar,11,1/1/2016,26,98,45.5,10
30-Jan,46,24-Mar,7,1/1/2016,29,100,49,11
2-Feb,45,28-Mar,12,1/1/2016,32,101,49,7
6-Feb,45,29-Mar,9,1/1/2016,36,107,51,3
10-Feb,44,8-Apr,10,1/1/2016,40,110,46,11
11-Feb,44,10-Apr,11,1/1/2016,41,112,47,7
11-Feb,43,11-Apr,7,1/1/2016,41,115,,0
11-Feb,40,17-Apr,3,1/1/2016,41,117,,-2
12-Feb,47,20-Apr,11,1/1/2016,42,118,51,13
13-Feb,45,22-Apr,7,1/1/2016,43,126,47.5,6
14-Feb,49,25-Apr,0,1/1/2016,44,130,,2
15-Feb,49,27-Apr,-2,1/1/2016,45,133,50,6
19-Feb,46,28-Apr,13,1/1/2016,49,134,48,-3
20-Feb,47,6-May,6,1/1/2016,50,135,51,3
24-Feb,44,10-May,2,1/1/2016,54,136,47,-2
24-Feb,50,13-May,6,1/1/2016,54,137,,-5
27-Feb,47,14-May,-3,1/1/2016,57,143,,1
3-Mar,49,15-May,3,1/1/2016,62,144,49,4
3-Mar,51,16-May,-2,1/1/2016,62,151,51,3
5-Mar,45,17-May,-5,1/1/2016,64,153,46,3
10-Mar,44,23-May,1,1/1/2016,69,155,49,8
12-Mar,46,24-May,4,1/1/2016,71,156,51,3
16-Mar,49,31-May,5,1/1/2016,75,157,,4
17-Mar,51,31-May,1,1/1/2016,76,160,53,6
17-Mar,51,2-Jun,3,1/1/2016,76,161,53,12
17-Mar,48,4-Jun,8,1/1/2016,76,162,48,7
17-Mar,48,5-Jun,3,1/1/2016,76,165,,5
19-Mar,45,6-Jun,4,1/1/2016,78,166,49.5,8.5
19-Mar,50,9-Jun,6,1/1/2016,78,167,52,4.5
20-Mar,48,10-Jun,12,1/1/2016,79,169,48.5,7
24-Mar,47,11-Jun,9,1/1/2016,83,170,51,5
26-Mar,46,11-Jun,5,1/1/2016,85,171,54,8.5
27-Mar,46,14-Jun,5,1/1/2016,86,172,48,2
28-Mar,48,15-Jun,9,1/1/2016,87,175,46.5,4
29-Mar,50,15-Jun,8,1/1/2016,88,176,49,10
31-Mar,50,16-Jun,5,1/1/2016,90,177,50,6
2-Apr,46,16-Jun,4,1/1/2016,92,178,48,3
8-Apr,46,18-Jun,10,1/1/2016,98,179,,-4
8-Apr,45,18-Jun,4,1/1/2016,98,183,48,8
9-Apr,48,19-Jun,5,1/1/2016,99,186,51,0.5
10-Apr,49,20-Jun,12,1/1/2016,100,189,53,0
11-Apr,49,20-Jun,5,1/1/2016,101,190,48.5,3.5
12-Apr,48,21-Jun,2,1/1/2016,102,192,52,2.5
16-Apr,49,24-Jun,4,1/1/2016,106,193,,-7
17-Apr,51,24-Jun,4,1/1/2016,107,194,,7
20-Apr,46,25-Jun,10,1/1/2016,110,196,45,4
22-Apr,49,26-Jun,6,1/1/2016,112,197,44,4
22-Apr,45,26-Jun,6,1/1/2016,112,199,,0
23-Apr,46,27-Jun,4,1/1/2016,113,201,,-7
28-Apr,51,27-Jun,2,1/1/2016,118,202,,-2
30-Apr,49,28-Jun,-4,1/1/2016,120,203,50,-2
6-May,46,2-Jul,11,1/1/2016,126,204,48,5
6-May,49,2-Jul,5,1/1/2016,126,206,45,6.5
7-May,47,5-Jul,3,1/1/2016,127,207,,1
13-May,50,5-Jul,-2,1/1/2016,133,210,52,6.8
14-May,48,8-Jul,0,1/1/2016,134,211,48,2.7
14-May,48,9-Jul,5,1/1/2016,134,212,52,9.5
15-May,51,9-Jul,2,1/1/2016,135,213,53,11
16-May,47,11-Jul,1,1/1/2016,136,217,50,6
20-May,45,11-Jul,4,1/1/2016,140,218,49.5,5.7
21-May,47,12-Jul,-7,1/1/2016,141,220,,9
24-May,49,13-Jul,7,1/1/2016,144,225,46,5
28-May,52,15-Jul,4,1/1/2016,148,226,49,2
31-May,51,16-Jul,4,1/1/2016,151,227,,8
2-Jun,46,18-Jul,1,1/1/2016,153,230,54,10
4-Jun,49,18-Jul,-1,1/1/2016,155,231,47,3
5-Jun,51,20-Jul,-7,1/1/2016,156,232,44,7
9-Jun,53,21-Jul,-2,1/1/2016,160,234,,3
10-Jun,53,22-Jul,-3,1/1/2016,161,236,50,7
11-Jun,48,22-Jul,-1,1/1/2016,162,237,47,4
15-Jun,50,23-Jul,5,1/1/2016,166,238,50,3
15-Jun,49,25-Jul,8,1/1/2016,166,239,48,5
16-Jun,52,25-Jul,5,1/1/2016,167,240,52.5,6
18-Jun,50,26-Jul,1,1/1/2016,169,241,,6
18-Jun,47,29-Jul,7,1/1/2016,169,244,49,0.5
19-Jun,51,29-Jul,6,1/1/2016,170,247,50,2
19-Jun,51,29-Jul,9,1/1/2016,170,248,55,4
20-Jun,54,29-Jul,5,1/1/2016,171,251,49,3
21-Jun,48,30-Jul,1,1/1/2016,172,252,,2
24-Jun,50,30-Jul,3,1/1/2016,175,253,48,2
24-Jun,43,30-Jul,4,1/1/2016,175,254,50,-1
25-Jun,49,31-Jul,9,1/1/2016,176,255,,5
26-Jun,50,31-Jul,10,1/1/2016,177,258,49.3,4.3
26-Jun,50,1-Aug,8,1/1/2016,177,259,52,7
27-Jun,48,1-Aug,15,1/1/2016,178,261,47,1
2-Jul,51,1-Aug,10,1/1/2016,183,262,51,4.5
2-Jul,45,5-Aug,6,1/1/2016,183,264,49,0
5-Jul,51,6-Aug,4,1/1/2016,186,265,49.5,3.5
7-Jul,47,6-Aug,6,1/1/2016,188,266,,-5
8-Jul,53,6-Aug,7,1/1/2016,189,267,,-5
9-Jul,51,8-Aug,9,1/1/2016,190,270,50,4.5
9-Jul,46,13-Aug,5,1/1/2016,190,,,
11-Jul,52,14-Aug,6,1/1/2016,192,,,
14-Jul,49,14-Aug,-2,1/1/2016,195,,,
15-Jul,45,15-Aug,8,1/1/2016,196,,,
16-Jul,44,15-Aug,8,1/1/2016,197,,,
22-Jul,50,18-Aug,10,1/1/2016,203,,,
23-Jul,48,19-Aug,3,1/1/2016,204,,,
25-Jul,45,20-Aug,7,1/1/2016,206,,,
29-Jul,52,22-Aug,6,1/1/2016,210,,,
29-Jul,54,22-Aug,0,1/1/2016,210,,,
29-Jul,50,24-Aug,7,1/1/2016,210,,,
30-Jul,48,25-Aug,1,1/1/2016,211,,,
