GDP per capita growth (annual %),Year,"Adjusted net enrolment rate, primary, both sexes (%)",General government final consumption expenditure (% of GDP),Gross savings (% of GDP),Gross capital formation (% of GDP),Real interest rate (%),Military expenditure (% of GDP),"Intentional homicides (per 100,000 people)",GDP at market prices (constant 2010 US$),GDP per capita (constant 2010 US$),GDP per capita growth (annual %),Population ages 15-64 (% of total),Population growth (annual %),"Population, total"
,1960,,15.6451316,,22.52898951,,,,3.07807E+12,17036.88517,,60.05109968,1.701992777,180671000
0.618121193,1961,,15.95952423,,22.47470265,3.107884875,,,3.14887E+12,17142.19377,0.618121193,59.85813796,1.657730037,183691000
4.480669354,1962,,16.24524872,,23.07056685,3.215345976,,,3.34095E+12,17910.27879,4.480669354,59.83195569,1.537997358,186538000
2.908271948,1963,,16.20732853,,23.14437833,3.374882242,,,3.48795E+12,18431.1584,2.908271948,59.93468817,1.439164762,189242000
4.340548963,1964,,15.90842811,,23.11169437,2.951669,,,3.69025E+12,19231.17186,4.340548963,60.11764121,1.389046055,191889000
5.07809761,1965,,15.73215006,,23.86715073,2.565913126,,,3.92643E+12,20207.74954,5.07809761,60.35856426,1.250171646,194303000
5.277113858,1966,,16.30674847,,24.26993865,2.649420629,,,4.18164E+12,21274.13549,5.277113858,60.62093324,1.154893191,196560000
1.389951286,1967,,17.45387026,,23.24474875,2.406227032,,,4.28619E+12,21569.83561,1.389951286,60.93375682,1.088881207,198712000
3.758819368,1968,,17.77188329,,22.93899204,1.863911247,,,4.49192E+12,22380.60677,3.758819368,61.28424478,0.998461044,200706000
2.097369706,1969,,17.72722816,,23.76703598,2.851773364,,,4.63117E+12,22850.01083,2.097369706,61.66120698,0.977242812,202677000
2.011421857,1970,,18.06914128,21.50694685,21.36306516,5.5752646,,,4.77968E+12,23309.62095,2.011421857,62.05946115,1.165002667,205052000
1.997698625,1971,,18.0533838,21.42769552,21.86502479,0.614433603,,,4.9372E+12,23775.27692,1.997698625,62.55735816,1.264333692,207661000
4.142405817,1972,,17.74370755,22.053376,22.52185467,0.880973723,,,5.19706E+12,24760.14538,4.142405817,63.03012274,1.070522752,209896000
4.639582712,1973,,16.85094456,23.73581865,23.2799715,2.446487883,,,5.49033E+12,25908.9128,4.639582712,63.49427759,0.954476729,211909000
-1.421950051,1974,,17.23571094,22.63440996,22.64228689,1.66564438,,,5.46194E+12,25540.501,-1.421950051,63.97197646,0.913660196,213854000
-1.176880192,1975,81.28007,17.67635351,20.87186923,20.2288559,-1.280345801,,,5.45114E+12,25239.91991,-1.176880192,64.46870445,0.985986067,215973000
4.389433011,1976,,16.83991208,21.42710298,21.9891009,1.280760027,,,5.74474E+12,26347.80928,4.389433011,64.76400904,0.950220049,218035000
3.561746718,1977,,16.42425925,22.17328691,23.47950168,0.584916542,,,6.0095E+12,27286.25151,3.561746718,65.09368283,1.005771996,220239000
4.449086538,1978,,15.77805209,23.38645855,24.77937223,1.90185887,,,6.34373E+12,28500.24046,4.449086538,65.42335682,1.05957308,222585000
2.043327745,1979,,15.40330446,23.4874625,25.06537829,4.073621524,,,6.54518E+12,29082.59378,2.043327745,65.71139747,1.103576565,225055000
-1.19726088,1980,,15.89150063,22.17457087,23.26808861,5.730491581,,,6.52917E+12,28734.39926,-1.19726088,65.93947891,0.959589923,227225000
1.592517122,1981,,15.80180482,23.36925202,24.24743285,8.719667652,,,6.69857E+12,29191.99949,1.592517122,66.11905563,0.981415437,229466000
-2.841548665,1982,,16.53433447,21.83849822,22.06232543,8.151401817,,,6.57057E+12,28362.49462,-2.841548665,66.25557737,0.953317566,231664000
