"world utility per tick","agent count","min curiosity","max curiosity","mean curiosity","median curiosity","standard deviation curiosity","min iUtilityPerTick","max iUtilityPerTick","mean iUtilityPerTick","median iUtilityPerTick","standard deviation iUtilityPerTick","min money","max money","mean money","median money","standard deviation money","mean isEducated","median isEducated","standard deviation isEducated","job count","min wages","max wages","mean wages","median wages","standard deviation wages","min educatedBonusWages","max educatedBonusWages","mean educatedBonusWages","median educatedBonusWages","standard deviation educatedBonusWages","min reputation","max reputation","mean reputation","median reputation","standard deviation reputation","school count","min school price","max school price","mean school price","median school price","standard deviation school price","min school reputation","max school reputation","mean school reputation","median school reputation","standard deviation school reputation","min school suffering","max school suffering","mean school suffering","median school suffering","standard deviation school suffering","terminal tick count","ticks per second","batch size","forced model termination","blind mode"
"23.335060805901477","18","","","","","","","","","","","","","","","","","","","1373","","","","","","","","","","","","","","","","120","","","","","","","","","","","","","","","","7","6","11","","true"
"27.47026895464944","16","","","","","","","","","","","","","","","","","","","1337","","","","","","","","","","","","","","","","131","","","","","","","","","","","","","","","","8","7","11","","true"
"44.795652710291186","33","","","","","","","","","","","","","","","","","","","1305","","","","","","","","","","","","","","","","137","","","","","","","","","","","","","","","","5","4","11","","true"
"51.79386246163083","30","","","","","","","","","","","","","","","","","","","1255","","","","","","","","","","","","","","","","150","","","","","","","","","","","","","","","","6","4","11","","true"
"33.26078068217219","16","","","","","","","","","","","","","","","","","","","1228","","","","","","","","","","","","","","","","136","","","","","","","","","","","","","","","","10","8","11","","true"
"33.48030810125777","16","","","","","","","","","","","","","","","","","","","1287","","","","","","","","","","","","","","","","135","","","","","","","","","","","","","","","","10","9","11","","true"
"55.73874992732216","31","","","","","","","","","","","","","","","","","","","1327","","","","","","","","","","","","","","","","137","","","","","","","","","","","","","","","","7","5","11","","true"
"60.42953167332252","38","","","","","","","","","","","","","","","","","","","1298","","","","","","","","","","","","","","","","132","","","","","","","","","","","","","","","","6","4","11","","true"
"9.985082330080381","6","","","","","","","","","","","","","","","","","","","1251","","","","","","","","","","","","","","","","139","","","","","","","","","","","","","","","","52","50","11","","true"
"50.846735244763344","25","","","","","","","","","","","","","","","","","","","1261","","","","","","","","","","","","","","","","126","","","","","","","","","","","","","","","","12","10","11","","true"
"57.53309291508016","31","","","","","","","","","","","","","","","","","","","1244","","","","","","","","","","","","","","","","135","","","","","","","","","","","","","","","","10","8","11","","true"
