inputrownumber,genderizedname,gender,genderprobability
10,Glen,male,0.98
11,Thomas,male,1
12,Francois,male,1
13,Arleigh,female,1
14,Gerhart,null,
15,Goetz,null,
16,Cotton,female,0.67
17,Wilfred,male,1
18,Clifton,male,1
19,Erwin,male,0.98
2,Hendrik,male,1
20,Clare,female,1
21,Morton,male,1
22,Stephan,male,1
23,Wilson,male,0.99
24,Willmoore,null,
25,Yale,male,1
26,Gottfried,male,1
27,Harlan,male,1
28,Merrill,male,0.67
29,Ross,male,0.95
3,Leland,male,0.95
30,Marshall,male,0.99
31,Janusz,male,1
32,Clarence,male,0.95
33,Wilton,male,1
34,Deil,null,
35,Chelcie,female,1
36,Procter,null,
37,Musa,male,0.96
38,Vigen,male,1
39,Oswald,male,1
4,Williard,male,1
40,Nolan,male,1
41,Ludwig,male,1
42,Emerson,male,0.99
43,Earhart,null,
44,Theodore,male,0.96
45,Donald,male,1
46,Norma,female,1
47,Burton,male,0.94
48,Lee,male,0.75
49,Colin,male,0.99
5,Gottfried,male,1
50,Friedrich,male,1
51,Deil,null,
52,Forrest,male,0.98
53,Seymour,male,1
54,Ferdinand,male,1
55,Ellis,male,0.63
56,Procter,null,
57,Attiat,null,
58,John,male,0.99
59,Wilhelm,male,1
6,Claes,male,0.96
60,Melvin,male,0.98
61,William,male,1
62,Chiaki,female,0.75
63,Arlen,female,0.52
64,Gardner,male,1
65,Roland,male,1
66,Dean,male,0.96
67,Wilson,male,0.99
68,Othel,null,
69,Barrie,male,0.95
7,Fritz,male,0.93
70,Hamilton,male,1
71,Desire,female,0.89
72,Svetozar,male,1
73,Marina,female,0.99
74,Milton,male,1
75,,male,1
8,Klaus,male,0.98
9,Armen,male,0.96
