"Stage Name","Stage Date","Stage Category","General Classification Url","Points Classification Url","Stage Classification Url","Competition Date","Competition Name","Competition Result Page Url","Country","Class Code","getsum"
undefined"Final Classification","27 May 2012","","https://dataride.uci.ch/iframe/EventResults/121529?competitionId=45057&disciplineId=10","","","27-May-12","GP Industria e Commercio - Tr. Città di San Vendemiano","https://dataride.uci.ch/iframe/CompetitionResults/45057?disciplineId=10","ITA","1.2U","1"
"Stage 1","10 Mar 2010","","https://dataride.uci.ch/iframe/EventResults/138752?competitionId=45059&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/138754?competitionId=45059&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/138751?competitionId=45059&disciplineId=10","10 Mar-16 Mar 2010","Tirreno-Adriatico","https://dataride.uci.ch/iframe/CompetitionResults/45059?disciplineId=10","ITA","2.CH","1"
"Stage 2","11 Mar 2010","","https://dataride.uci.ch/iframe/EventResults/138757?competitionId=45059&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/138758?competitionId=45059&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/138756?competitionId=45059&disciplineId=10","10 Mar-16 Mar 2010","Tirreno-Adriatico","https://dataride.uci.ch/iframe/CompetitionResults/45059?disciplineId=10","ITA","2.CH","1"
"Stage 3","12 Mar 2010","","https://dataride.uci.ch/iframe/EventResults/138762?competitionId=45059&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/138764?competitionId=45059&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/138761?competitionId=45059&disciplineId=10","10 Mar-16 Mar 2010","Tirreno-Adriatico","https://dataride.uci.ch/iframe/CompetitionResults/45059?disciplineId=10","ITA","2.CH","1"
"Stage 4","13 Mar 2010","","https://dataride.uci.ch/iframe/EventResults/138767?competitionId=45059&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/138768?competitionId=45059&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/138766?competitionId=45059&disciplineId=10","10 Mar-16 Mar 2010","Tirreno-Adriatico","https://dataride.uci.ch/iframe/CompetitionResults/45059?disciplineId=10","ITA","2.CH","1"
"Stage 5","14 Mar 2010","","https://dataride.uci.ch/iframe/EventResults/138772?competitionId=45059&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/138773?competitionId=45059&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/138771?competitionId=45059&disciplineId=10","10 Mar-16 Mar 2010","Tirreno-Adriatico","https://dataride.uci.ch/iframe/CompetitionResults/45059?disciplineId=10","ITA","2.CH","1"
"Stage 6","15 Mar 2010","","https://dataride.uci.ch/iframe/EventResults/138777?competitionId=45059&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/138778?competitionId=45059&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/138776?competitionId=45059&disciplineId=10","10 Mar-16 Mar 2010","Tirreno-Adriatico","https://dataride.uci.ch/iframe/CompetitionResults/45059?disciplineId=10","ITA","2.CH","1"
"Stage 7","16 Mar 2010","","https://dataride.uci.ch/iframe/EventResults/138782?competitionId=45059&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/138783?competitionId=45059&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/138781?competitionId=45059&disciplineId=10","10 Mar-16 Mar 2010","Tirreno-Adriatico","https://dataride.uci.ch/iframe/CompetitionResults/45059?disciplineId=10","ITA","2.CH","1"
"Final Classification","16 Mar 2010","","https://dataride.uci.ch/iframe/EventResults/138747?competitionId=45059&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/138750?competitionId=45059&disciplineId=10","","10 Mar-16 Mar 2010","Tirreno-Adriatico","https://dataride.uci.ch/iframe/CompetitionResults/45059?disciplineId=10","ITA","2.CH","1"
"Stage 1","21 Mar 2011","","https://dataride.uci.ch/iframe/EventResults/132359?competitionId=42870&disciplineId=10","","https://dataride.uci.ch/iframe/EventResults/132358?competitionId=42870&disciplineId=10","21 Mar-27 Mar 2011","Volta Ciclista a Catalunya","https://dataride.uci.ch/iframe/CompetitionResults/42870?disciplineId=10","ESP","2.UWT","1"
