"Stage Name","Stage Date","Stage Category","General Classification Url","Points Classification Url","Stage Classification Url","Competition Date","Competition Name","Competition Result Page Url","Country","Class Code","getsum"
undefined"Prologue","30 Jun 2012","","","","","30 Jun-22 Jul 2012","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42784?disciplineId=10","FRA","2.UWT","1"
"Stage 1","01 Jul 2012","","","","","30 Jun-22 Jul 2012","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42784?disciplineId=10","FRA","2.UWT","1"
"Stage 2","02 Jul 2012","","","","","30 Jun-22 Jul 2012","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42784?disciplineId=10","FRA","2.UWT","1"
"Stage 3","03 Jul 2012","","","","","30 Jun-22 Jul 2012","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42784?disciplineId=10","FRA","2.UWT","1"
"Stage 4","04 Jul 2012","","","","","30 Jun-22 Jul 2012","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42784?disciplineId=10","FRA","2.UWT","1"
"Stage 5","05 Jul 2012","","","","","30 Jun-22 Jul 2012","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42784?disciplineId=10","FRA","2.UWT","1"
"Stage 6","06 Jul 2012","","","","","30 Jun-22 Jul 2012","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42784?disciplineId=10","FRA","2.UWT","1"
"Stage 7","07 Jul 2012","","","","","30 Jun-22 Jul 2012","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42784?disciplineId=10","FRA","2.UWT","1"
"Stage 8","08 Jul 2012","","","","","30 Jun-22 Jul 2012","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42784?disciplineId=10","FRA","2.UWT","1"
"Stage 9","09 Jul 2012","","","","","30 Jun-22 Jul 2012","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42784?disciplineId=10","FRA","2.UWT","1"
"Stage 10","11 Jul 2012","","","","","30 Jun-22 Jul 2012","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42784?disciplineId=10","FRA","2.UWT","1"
"Stage 11","12 Jul 2012","","","","","30 Jun-22 Jul 2012","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42784?disciplineId=10","FRA","2.UWT","1"
"Stage 12","13 Jul 2012","","","","","30 Jun-22 Jul 2012","Tour de France","https://dataride.uci.ch/iframe/CompetitionResults/42784?disciplineId=10","FRA","2.UWT","1"
