date,competition,url,country,class,getsum
15-Oct-09,Giro del Piemonte,/iframe/CompetitionResults/42911?disciplineId=10,ITA,1.HC,0
13-Oct-09,Nationale Sluitingprijs - Putte - Kapellen,/iframe/CompetitionResults/43942?disciplineId=10,BEL,1.1,0
11-Oct-09,G.P. Beghelli,/iframe/CompetitionResults/42845?disciplineId=10,ITA,1.1,0
11-Oct-09,Paris - Tours,/iframe/CompetitionResults/42999?disciplineId=10,FRA,1.HC,0
11-Oct-09,Paris-Tours Espoirs,/iframe/CompetitionResults/43677?disciplineId=10,FRA,1.2U,1
10-Oct-09,Giro dell'Emilia,/iframe/CompetitionResults/42900?disciplineId=10,ITA,1.HC,0
8-Oct-09,Paris-Bourges,/iframe/CompetitionResults/42860?disciplineId=10,FRA,1.1,0
8-Oct-09,Coppa Sabatini,/iframe/CompetitionResults/42907?disciplineId=10,ITA,1.1,0
05 Oct-09 Oct 2009,Milad De Nour Tour,/iframe/CompetitionResults/44307?disciplineId=10,IRI,2.2,0
4-Oct-09,Tour de Vendée,/iframe/CompetitionResults/43463?disciplineId=10,FRA,1.1,0
04 Oct-10 Oct 2009,Vuelta Chihuahua,/iframe/CompetitionResults/44863?disciplineId=10,MEX,2.1,0
3-Oct-09,Memorial Cimurri,/iframe/CompetitionResults/44196?disciplineId=10,ITA,1.1,0
3-Oct-09,Sparkassen Münsterland Giro,/iframe/CompetitionResults/44655?disciplineId=10,GER,1.1,0
02 Oct-04 Oct 2009,Cinturó de l'Empordà,/iframe/CompetitionResults/45013?disciplineId=10,ESP,2.2,0
01 Oct-04 Oct 2009,Circuit Franco-Belge,/iframe/CompetitionResults/43138?disciplineId=10,BEL,2.1,0
29-Sep-09,Ruota d'Oro - GP Festa del Perdono,/iframe/CompetitionResults/43661?disciplineId=10,ITA,1.2,0
25 Sep-27 Sep 2009,Tour du Gévaudan Languedoc-Roussillon,/iframe/CompetitionResults/45026?disciplineId=10,FRA,2.2,0
23-Sep-09,Omloop van het Houtland Lichtervelde,/iframe/CompetitionResults/44116?disciplineId=10,BEL,1.1,0
20-Sep-09,GP Industria & Commercio di Prato,/iframe/CompetitionResults/42682?disciplineId=10,ITA,1.1,0
20-Sep-09,Grand Prix d'Isbergues - Pas de Calais,/iframe/CompetitionResults/42884?disciplineId=10,FRA,1.1,0
20-Sep-09,Trofeo G. Bianchin,/iframe/CompetitionResults/43656?disciplineId=10,ITA,1.2,0
20-Sep-09,Duo Normand,/iframe/CompetitionResults/43669?disciplineId=10,FRA,1.2,0
19 Sep-20 Sep 2009,Keizer der Juniores,/iframe/CompetitionResults/44396?disciplineId=10,BEL,2.1,0
19-Sep-09,Praha - Karlovy Vary - Praha,/iframe/CompetitionResults/44931?disciplineId=10,CZE,1.2,0
18-Sep-09,Grand Prix de la Somme « Conseil Général 80»,/iframe/CompetitionResults/43628?disciplineId=10,FRA,1.1,0
18 Sep-20 Sep 2009,Kroz Istru / Tour d'Istrie,/iframe/CompetitionResults/43638?disciplineId=10,CRO,2.Ncup,0
18-Sep-09,Kampioenschap van Vlaanderen,/iframe/CompetitionResults/43962?disciplineId=10,BEL,1.1,0
17-Sep-09,Tour of Vojvodina I part,/iframe/CompetitionResults/44666?disciplineId=10,SRB,1.2,0
16-Sep-09,Grand Prix de Wallonie,/iframe/CompetitionResults/42713?disciplineId=10,BEL,1.1,0
15 Sep-20 Sep 2009,Giro della Toscana Int. Femminile - Memorial Michela Fanini,/iframe/CompetitionResults/43730?disciplineId=10,ITA,2.1,0
13-Sep-09,GP de Fourmies / La Voix du Nord,/iframe/CompetitionResults/42875?disciplineId=10,FRA,1.HC,0
12-Sep-09,Parijs-Brusssel - Paris-Bruxelles,/iframe/CompetitionResults/42889?disciplineId=10,BEL,1.HC,0
12 Sep-19 Sep 2009,Tour of  Britain,/iframe/CompetitionResults/42954?disciplineId=10,GBR,2.1,0
11 Sep-12 Sep 2009,Univest Grand Prix,/iframe/CompetitionResults/44318?disciplineId=10,USA,2.2,0
9-Sep-09,Memorial Rik Van Steenbergen,/iframe/CompetitionResults/43004?disciplineId=10,BEL,1.1,0
09 Sep-13 Sep 2009,Tour de Hokkaido,/iframe/CompetitionResults/43796?disciplineId=10,JPN,2.2,0
08 Sep-12 Sep 2009,Tour Cycliste Féminin International Ardèche,/iframe/CompetitionResults/44706?disciplineId=10,FRA,2.2,0
07 Sep-13 Sep 2009,Tour of Missouri,/iframe/CompetitionResults/44809?disciplineId=10,USA,2.HC,1
6-Sep-09,Giro della Romagna,/iframe/CompetitionResults/42894?disciplineId=10,ITA,1.1,0
6-Sep-09,Grote Prijs Jef Scherens - Rondom Leuven,/iframe/CompetitionResults/43009?disciplineId=10,BEL,1.1,0
6-Sep-09,Remouchamps - Ferrières - Remouchamps,/iframe/CompetitionResults/43643?disciplineId=10,BEL,1.1,0
05 Sep-13 Sep 2009,Tour de l'Avenir,/iframe/CompetitionResults/43274?disciplineId=10,FRA,2.Ncup,0
04 Sep-06 Sep 2009,Grand Prix Rüebliland,/iframe/CompetitionResults/43397?disciplineId=10,SUI,2.1,0
03 Sep-06 Sep 2009,Giro Internazionale della Lunigiana,/iframe/CompetitionResults/43374?disciplineId=10,ITA,2.1,0
02 Sep-06 Sep 2009,Tour de Slovaquie,/iframe/CompetitionResults/43222?disciplineId=10,SVK,2.2,0
01 Sep-06 Sep 2009,Holland Ladies Tour,/iframe/CompetitionResults/43965?disciplineId=10,NED,2.2,0
30-Aug-09,Schaal Sels,/iframe/CompetitionResults/43839?disciplineId=10,BEL,1.1,0
30-Aug-09,Trofeo Emilio Paganessi,/iframe/CompetitionResults/43852?disciplineId=10,ITA,1.1,0
30-Aug-09,Châteauroux Classic de l'Indre Trophée Fenioux,/iframe/CompetitionResults/44422?disciplineId=10,FRA,1.1,0
29 Aug-20 Sep 2009,Vuelta a España,/iframe/CompetitionResults/42673?disciplineId=10,ESP,2.CH,1
29-Aug-09,Omloop Mandel - Leie - Schelde,/iframe/CompetitionResults/42736?disciplineId=10,BEL,1.1,0
29-Aug-09,Giro del Veneto,/iframe/CompetitionResults/43129?disciplineId=10,ITA,1.HC,0
29-Aug-09,Trofeo comune di Vertova Memorial Pietro Merelli,/iframe/CompetitionResults/43858?disciplineId=10,ITA,1.1,0
26-Aug-09,Druivenkoers - Overijse,/iframe/CompetitionResults/42965?disciplineId=10,BEL,1.1,0
25 Aug-28 Aug 2009,Tour du Poitou Charentes et de la Vienne,/iframe/CompetitionResults/43250?disciplineId=10,FRA,2.1,0
25 Aug-30 Aug 2009,Giro Ciclistico della Valle d'Aosta Mont Blanc,/iframe/CompetitionResults/43260?disciplineId=10,ITA,2.2,0
25-Aug-09,Grand Prix des Marbriers,/iframe/CompetitionResults/43610?disciplineId=10,FRA,1.2,0
25 Aug-29 Aug 2009,Trophée d'Or Féminin,/iframe/CompetitionResults/43929?disciplineId=10,FRA,2.2,0
22-Aug-09,Trofeo Melinda - val di Non,/iframe/CompetitionResults/42815?disciplineId=10,ITA,1.1,0
22-Aug-09,GP de Plouay-Bretagne,/iframe/CompetitionResults/42819?disciplineId=10,FRA,CDM,0
21 Aug-23 Aug 2009,Tour of Ireland,/iframe/CompetitionResults/42973?disciplineId=10,IRL,2.1,0
21 Aug-23 Aug 2009,Albstadt-Frauen-Etappenrennen,/iframe/CompetitionResults/44836?disciplineId=10,GER,2.2,0
20-Aug-09,Coppa Bernocchi,/iframe/CompetitionResults/42854?disciplineId=10,ITA,1.1,0
20 Aug-23 Aug 2009,Regio-Tour,/iframe/CompetitionResults/43245?disciplineId=10,GER,2.1,0
19-Aug-09,Coppa Agostoni - giro delle Brianze,/iframe/CompetitionResults/42826?disciplineId=10,ITA,1.1,0
18-Aug-09,Tre Valli Varesine,/iframe/CompetitionResults/42835?disciplineId=10,ITA,1.HC,0
18 Aug-21 Aug 2009,Tour du Limousin,/iframe/CompetitionResults/42961?disciplineId=10,FRA,2.1,0
18-Aug-09,GP Stad Zottegem,/iframe/CompetitionResults/43993?disciplineId=10,BEL,1.1,0
16-Aug-09,Omloop der Vlaamse Gewesten,/iframe/CompetitionResults/43598?disciplineId=10,BEL,1.1,0
16-Aug-09,GP Capodarco,/iframe/CompetitionResults/43741?disciplineId=10,ITA,1.2,0
16-Aug-09,Antwerpse Havenpijl,/iframe/CompetitionResults/43991?disciplineId=10,BEL,1.2,0
16-Aug-09,Puchar Uzdrowisk Karpackich,/iframe/CompetitionResults/44277?disciplineId=10,POL,1.2,0
15-Aug-09,Memorial Henryka Lasaka,/iframe/CompetitionResults/43972?disciplineId=10,POL,1.2,0
15-Aug-09,Ronde des Vallées,/iframe/CompetitionResults/44455?disciplineId=10,FRA,1.1,0
14-Aug-09,Puchar Ministra Obrony Narodowej,/iframe/CompetitionResults/44408?disciplineId=10,POL,1.2,0
12 Aug-15 Aug 2009,Mi-Août Bretonne,/iframe/CompetitionResults/45218?disciplineId=10,FRA,2.2,0
11-Aug-09,GP Citta' di Felino,/iframe/CompetitionResults/44164?disciplineId=10,ITA,1.2,0
09 Aug-12 Aug 2009,Tour de l'Ain,/iframe/CompetitionResults/43269?disciplineId=10,FRA,2.1,0
9-Aug-09,Trofeo Internazionale Bastianelli,/iframe/CompetitionResults/43597?disciplineId=10,ITA,1.2,0
09 Aug-14 Aug 2009,La Route de France,/iframe/CompetitionResults/44611?disciplineId=10,FRA,2.1,0
9-Aug-09,Holland Hills Classic,/iframe/CompetitionResults/44686?disciplineId=10,NED,1.2,0
8-Aug-09,G.P. Camaiore,/iframe/CompetitionResults/42794?disciplineId=10,ITA,1.1,0
08 Aug-10 Aug 2009,Tour of East Java,/iframe/CompetitionResults/44478?disciplineId=10,INA,2.2,0
07 Aug-09 Aug 2009,Volta Ciclística Internacional de Campos,/iframe/CompetitionResults/44169?disciplineId=10,BRA,2.2,0
07 Aug-09 Aug 2009,Tour of Szeklerland,/iframe/CompetitionResults/45141?disciplineId=10,ROU,2.2,0
6-Aug-09,GP Industria e Commercio  Artigianato Carnaghese,/iframe/CompetitionResults/43548?disciplineId=10,ITA,1.1,0
06 Aug-09 Aug 2009,Tour de la Région de Lodz,/iframe/CompetitionResults/43985?disciplineId=10,POL,2.1,0
05 Aug-09 Aug 2009,Vuelta a Burgos,/iframe/CompetitionResults/42952?disciplineId=10,ESP,2.HC,1
05 Aug-16 Aug 2009,Volta a Portugal em Bicicleta - EDP,/iframe/CompetitionResults/43014?disciplineId=10,POR,2.HC,1
05 Aug-06 Aug 2009,Paris-Corrèze,/iframe/CompetitionResults/44189?disciplineId=10,FRA,2.1,0
5-Aug-09,GP Folignano - Trofeo AVIS,/iframe/CompetitionResults/44735?disciplineId=10,ITA,1.2,0
04 Aug-08 Aug 2009,Vuelta Ciclista a León,/iframe/CompetitionResults/43917?disciplineId=10,ESP,2.2,0
04 Aug-06 Aug 2009,Tour des Pyrénées - Vuelta a los Pirineos,/iframe/CompetitionResults/44412?disciplineId=10,FRA,2.2,0
2-Aug-09,Urkiola Igoera - Subida Urkiola,/iframe/CompetitionResults/42986?disciplineId=10,ESP,1.1,0
2-Aug-09,Sparkassen Giro,/iframe/CompetitionResults/44187?disciplineId=10,GER,1.1,0
2-Aug-09,La Poly Normande,/iframe/CompetitionResults/44371?disciplineId=10,FRA,1.1,0
2-Aug-09,Open de Suède Vargarda,/iframe/CompetitionResults/44712?disciplineId=10,SWE,CDM,0
2-Aug-09,Sparkassen Giro,/iframe/CompetitionResults/44730?disciplineId=10,GER,1.1,0
2-Aug-09,Trofeo Beato Bernardo,/iframe/CompetitionResults/44814?disciplineId=10,ITA,1.1,0
2-Aug-09,Giro Ciclistico del Cigno - Memorial Mattia Rosa,/iframe/CompetitionResults/44835?disciplineId=10,ITA,1.2,0
2-Aug-09,GP Betonexpressz 2000,/iframe/CompetitionResults/44957?disciplineId=10,HUN,1.2,0
1-Aug-09,Scandinavian Open,/iframe/CompetitionResults/44044?disciplineId=10,SWE,1.2,0
1-Aug-09,GP P-Nivo,/iframe/CompetitionResults/44956?disciplineId=10,HUN,1.2,0
1-Aug-09,Coppa Città di Offida,/iframe/CompetitionResults/45050?disciplineId=10,ITA,1.1,0
31-Jul-09,"Circuito de Getxo Memorial Ricardo Otxoa""","/iframe/CompetitionResults/42945?disciplineId=10""",ESP,1.1,0
31 Jul-02 Aug 2009,Liège - La Gleize,/iframe/CompetitionResults/43609?disciplineId=10,BEL,2.1,0
31-Jul-09,Open de Suède Vargarda TTT,/iframe/CompetitionResults/45033?disciplineId=10,SWE,CDM,0
29 Jul-02 Aug 2009,Post Danmark Rundt - Tour of Denmark,/iframe/CompetitionResults/43232?disciplineId=10,DEN,2.HC,1
29 Jul-02 Aug 2009,Tour Alsace,/iframe/CompetitionResults/44885?disciplineId=10,FRA,2.2,0
28 Jul-30 Jul 2009,Perlis Open,/iframe/CompetitionResults/43723?disciplineId=10,MAS,2.2,0
26-Jul-09,Grand Prix de la ville de Pérenchies,/iframe/CompetitionResults/43576?disciplineId=10,FRA,1.2,0
26-Jul-09,Gran Premio Inda - Trofeo Aras Frattini a.m.,/iframe/CompetitionResults/44263?disciplineId=10,ITA,1.2,0
26-Jul-09,Ronde van Vlaanderen Juniores - Tour des Flandres Juniors,/iframe/CompetitionResults/44617?disciplineId=10,BEL,1.1,0
25-Jul-09,Prueba Villafranca de Ordizia - Clasica de Ordizia,/iframe/CompetitionResults/42800?disciplineId=10,ESP,1.1,0
25 Jul-29 Jul 2009,Tour de Wallonie,/iframe/CompetitionResults/43244?disciplineId=10,BEL,2.HC,1
25 Jul-26 Jul 2009,Grand Prix Bradlo,/iframe/CompetitionResults/44211?disciplineId=10,SVK,2.2,0
25 Jul-27 Jul 2009,Kreiz Breizh Elites,/iframe/CompetitionResults/45017?disciplineId=10,FRA,2.2,0
24 Jul-26 Jul 2009,Internationale Niedersachsen-Rundfahrt der Junioren,/iframe/CompetitionResults/43365?disciplineId=10,GER,2.1,0
23 Jul-26 Jul 2009,Tour Féminin en Limousin,/iframe/CompetitionResults/44520?disciplineId=10,FRA,2.2,0
22 Jul-26 Jul 2009,Sachsen-Tour International um den Sparkassen-Cup,/iframe/CompetitionResults/43221?disciplineId=10,GER,2.1,0
22 Jul-26 Jul 2009,Brixia Tour,/iframe/CompetitionResults/44195?disciplineId=10,ITA,2.1,0
22 Jul-26 Jul 2009,3 Giorni Orobica - Gran Premio Italmoda,/iframe/CompetitionResults/45144?disciplineId=10,ITA,2.1,0
21 Jul-26 Jul 2009,International Thüringen Rundfahrt der Frauen,/iframe/CompetitionResults/44243?disciplineId=10,GER,2.1,0
21 Jul-26 Jul 2009,Tour de l' Abitibi,/iframe/CompetitionResults/45069?disciplineId=10,CAN,2.Ncup,0
19-Jul-09,Giro del Casentino,/iframe/CompetitionResults/43648?disciplineId=10,ITA,1.2,0
19-Jul-09,Trophée des Champions,/iframe/CompetitionResults/44678?disciplineId=10,FRA,1.2,0
19-Jul-09,Trofeo San Rocco,/iframe/CompetitionResults/44684?disciplineId=10,ITA,1.1,0
18-Jul-09,GP Cento Carnevale d'Europa,/iframe/CompetitionResults/44170?disciplineId=10,ITA,1.2,0
18-Jul-09,Grand Prix Cristal Energie,/iframe/CompetitionResults/44677?disciplineId=10,FRA,1.2,0
17 Jul-19 Jul 2009,Vuelta a la Comunidad de Madrid,/iframe/CompetitionResults/43151?disciplineId=10,ESP,2.1,0
17 Jul-26 Jul 2009,Tour of Qinghai Lake,/iframe/CompetitionResults/44333?disciplineId=10,CHN,2.HC,1
16 Jul-19 Jul 2009,Tour de Bretagne Féminin,/iframe/CompetitionResults/43319?disciplineId=10,FRA,2.2,0
14 Jul-17 Jul 2009,Tour of the Red River Gorge,/iframe/CompetitionResults/45212?disciplineId=10,USA,2.1,0
12-Jul-09,Giro del Medio Brenta,/iframe/CompetitionResults/43588?disciplineId=10,ITA,1.2,0
11 Jul-12 Jul 2009,GP Général Patton,/iframe/CompetitionResults/43351?disciplineId=10,LUX,2.Ncup,0
11-Jul-09,Gent - Menen,/iframe/CompetitionResults/44212?disciplineId=10,BEL,1.1,0
11 Jul-14 Jul 2009,Ain'Ternational-Rhône Alpes-Valromey Tour,/iframe/CompetitionResults/44829?disciplineId=10,FRA,2.1,0
10 Jul-11 Jul 2009,GP Cycliste de Gemenc,/iframe/CompetitionResults/43987?disciplineId=10,HUN,2.2,0
09 Jul-12 Jul 2009,Tour Feminin - O cenu Ceskeho Svycarska,/iframe/CompetitionResults/43327?disciplineId=10,CZE,2.2,0
9-Jul-09,Prova Ciclistica 9 de Julho,/iframe/CompetitionResults/43907?disciplineId=10,BRA,1.2,0
08 Jul-12 Jul 2009,GP Internacional Torres Vedras - Joaquim Agostinho,/iframe/CompetitionResults/43239?disciplineId=10,POR,2.2,0
7-Jul-09,Trofeo Citta' di Brescia  Mem. Fiori e Volpi,/iframe/CompetitionResults/43828?disciplineId=10,ITA,1.2,0
05 Jul-12 Jul 2009,Int. Österreich-Rundfahrt-Tour of Austria,/iframe/CompetitionResults/43195?disciplineId=10,AUT,2.HC,1
5-Jul-09,Giro Ciclistico Valli Aretine,/iframe/CompetitionResults/43571?disciplineId=10,ITA,1.2,0
5-Jul-09,Tour du Doubs,/iframe/CompetitionResults/43954?disciplineId=10,FRA,1.1,0
04 Jul-26 Jul 2009,Tour de France,/iframe/CompetitionResults/42781?disciplineId=10,FRA,2.CH,1
4-Jul-09,Cronoscalata Gardone V.T. - Prati di Caregno,/iframe/CompetitionResults/43565?disciplineId=10,ITA,1.2,0
4-Jul-09,Tour du Jura,/iframe/CompetitionResults/44231?disciplineId=10,SUI,1.2,0
03 Jul-12 Jul 2009,Giro d'Italia Internazionale Femminile,/iframe/CompetitionResults/43317?disciplineId=10,ITA,2.1,0
03 Jul-06 Jul 2009,Sint-Martinusprijs Kontich,/iframe/CompetitionResults/43784?disciplineId=10,BEL,2.1,0
01 Jul-05 Jul 2009,Course de Solidarnosc et des Champions Olympiques,/iframe/CompetitionResults/43227?disciplineId=10,POL,2.1,0
24-Jun-09,Giro dell'Appennino,/iframe/CompetitionResults/42759?disciplineId=10,ITA,1.1,0
24 Jun-05 Jul 2009,Vuelta Ciclista a Venezuela,/iframe/CompetitionResults/43300?disciplineId=10,VEN,2.2,0
24-Jun-09,Internationale Wielertrofee Jong Maar Moedig I.W.T.,/iframe/CompetitionResults/43773?disciplineId=10,BEL,1.2,0
24-Jun-09,Halle-Ingooigem,/iframe/CompetitionResults/44253?disciplineId=10,BEL,1.1,0
