date,competition,url,country,class,getsum,badobs,gtsample
03 Jul-25 Jul 2010,Tour de France,/iframe/CompetitionResults/42782?disciplineId=10,FRA,2.CH,1,1,1
02 Jul-24 Jul 2011,Tour de France,/iframe/CompetitionResults/42783?disciplineId=10,FRA,2.UWT,1,1,1
28 Aug-19 Sep 2010,Vuelta a España,/iframe/CompetitionResults/42672?disciplineId=10,ESP,2.CH,1,1,1
09 May-31 May 2009,Giro d'Italia,/iframe/CompetitionResults/42722?disciplineId=10,ITA,2.CH,1,0,1
08 May-30 May 2010,Giro d'Italia,/iframe/CompetitionResults/42721?disciplineId=10,ITA,2.CH,1,0,1
07 May-29 May 2011,Giro d'Italia,/iframe/CompetitionResults/42720?disciplineId=10,ITA,2.UWT,1,0,1
05 May-27 May 2012,Giro d'Italia,/iframe/CompetitionResults/42717?disciplineId=10,ITA,2.UWT,1,0,1
04 May-26 May 2013,Giro d'Italia,/iframe/CompetitionResults/42719?disciplineId=10,ITA,2.UWT,1,0,1
09 May-01 Jun 2014,Giro d'Italia,/iframe/CompetitionResults/42718?disciplineId=10,ITA,2.UWT,1,0,1
09 May-31 May 2015,Giro d'Italia,/iframe/CompetitionResults/36167?disciplineId=10,ITA,2.UWT,1,0,1
06 May-29 May 2016,Giro d'Italia,/iframe/CompetitionResults/8044?disciplineId=10,ITA,2.UWT,1,0,1
05 May-28 May 2017,Giro d'Italia,/iframe/CompetitionResults/32964?disciplineId=10,ITA,2.UWT,1,0,1
19 Aug-10 Sep 2017,La Vuelta ciclista a España,/iframe/CompetitionResults/32966?disciplineId=10,ESP,2.UWT,1,0,1
04 Jul-26 Jul 2009,Tour de France,/iframe/CompetitionResults/42781?disciplineId=10,FRA,2.CH,1,0,1
30 Jun-22 Jul 2012,Tour de France,/iframe/CompetitionResults/42784?disciplineId=10,FRA,2.UWT,1,0,1
29 Jun-21 Jul 2013,Tour de France,/iframe/CompetitionResults/42786?disciplineId=10,FRA,2.UWT,1,0,1
05 Jul-27 Jul 2014,Tour de France,/iframe/CompetitionResults/42785?disciplineId=10,FRA,2.UWT,1,0,1
04 Jul-26 Jul 2015,Tour de France,/iframe/CompetitionResults/36176?disciplineId=10,FRA,2.UWT,1,0,1
02 Jul-24 Jul 2016,Tour de France,/iframe/CompetitionResults/8076?disciplineId=10,FRA,2.UWT,1,0,1
01 Jul-23 Jul 2017,Tour de France,/iframe/CompetitionResults/33996?disciplineId=10,FRA,2.UWT,1,0,1
29 Aug-20 Sep 2009,Vuelta a España,/iframe/CompetitionResults/42673?disciplineId=10,ESP,2.CH,1,0,1
20 Aug-11 Sep 2011,Vuelta a España,/iframe/CompetitionResults/42669?disciplineId=10,ESP,2.UWT,1,0,1
18 Aug-09 Sep 2012,Vuelta a España,/iframe/CompetitionResults/42670?disciplineId=10,ESP,2.UWT,1,0,1
24 Aug-15 Sep 2013,Vuelta a España,/iframe/CompetitionResults/42671?disciplineId=10,ESP,2.UWT,1,0,1
23 Aug-14 Sep 2014,Vuelta a España,/iframe/CompetitionResults/42668?disciplineId=10,ESP,2.UWT,1,0,1
22 Aug-13 Sep 2015,Vuelta a España,/iframe/CompetitionResults/36162?disciplineId=10,ESP,2.UWT,1,0,1
20 Aug-11 Sep 2016,Vuelta a España,/iframe/CompetitionResults/3858?disciplineId=10,ESP,2.UWT,1,0,1
