First Names,Last Names
mary,smith
annie,johnson
anna,williams
margaret,jones
helen,brown
elsie,davis
lucy,miller
dorothy,wilson
ruth,moore
elizabeth,taylor
agnes,anderson
louise,thomas
jean,jackson
alice,white
esther,harris
ethel,martin
marie,thompson
clara,garcia
martha,martinez
frances,robinson
julia,clark
lillian,rodriguez
mildred,lewis
pauline,lee
katherine,walker
emma,hall
hazel,allen
minnie,young
daisy,hernandez
edna,king
evelyn,wright
florence,lopez
sally,hill
olga,scott
edith,green
maggie,adams
rose,baker
sophie,gonzalez
gertrude,nelson
virginia,carter
sarah,mitchell
stella,perez
vera,roberts
betty,turner
irene,phillips
barbara,campbell
gladys,parker
ann,evans
josephine,edwards
kathryn,collins
katie,stewart
lorraine,sanchez
patricia,morris
bessie,rogers
joan,reed
thelma,cook
jessie,morgan
nellie,bell
ida,murphy
marjorie,bailey
norma,rivera
beatrice,cooper
elena,richardson
grace,cox
laura,howard
marian,ward
june,torres
lena,peterson
shirley,gray
mabel,ramirez
eva,james
nancy,watson
bertha,brooks
doris,kelly
dolly,sanders
carrie,price
jane,bennett
christine,wood
eleanor,barnes
cecelia,ross
lois,henderson
janet,coleman
maria,jenkins
arlene,perry
carol,powell
charlotte,long
flora,patterson
wilma,hughes
jacqueline,flores
nora,washington
theresa,butler
amelia,simmons
dolores,foster
geraldine,gonzales
lydia,bryant
donna,alexander
sylvia,russell
beverly,griffin
bernice,diaz
joyce,hayes
rosemary,myers
sandra,ford
karen,hamilton
phyllis,graham
emily,sullivan
marilyn,wallace
natalia,woods
judith,cole
sharon,west
carolyn,jordan
susan,owens
judy,reynolds
diane,fisher
gloria,ellis
janice,harrison
joanne,gibson
rita,mcdonald
audrey,cruz
ella,marshall
linda,ortiz
catherine,gomez
bonnie,murray
molly,freeman
roberta,wells
kathleen,webb
caroline,simpson
kathy,stevens
loretta,tucker
myra,porter
darlene,hunter
mattie,hicks
ellen,crawford
francine,henry
pamela,boyd
cheryl,mason
elaine,morales
gail,kennedy
peggy,warren
suzanne,dixon
anne,ramos
cynthia,reyes
carla,burns
deborah,gordon
diana,shaw
jeanne,holmes
jo,rice
lynda,robertson
margie,hunt
teresa,black
vivian,daniels
christina,palmer
julie,mills
colleen,nichols
paula,grant
delores,knight
vicki,ferguson
brenda,rose
charlene,stone
robin,hawkins
