school,state,weirdreason
University of Alabama (Alabama),AL,
University of Alabama at Birmingham (UAB),AL,
University of Alabama in Huntsville (UAH),AL,
Alabama Agricultural and Mechanical University (Alabama A&M),AL,
Alabama State University (Alabama State),AL,
Athens State University,AL,
Auburn University (Auburn),AL,
Auburn University at Montgomery,AL,
Jacksonville State University,AL,
University of Montevallo,AL,
University of North Alabama (UNA),AL,
University of South Alabama (USA),AL,
Troy University (Troy),AL,
University of Alaska Fairbanks (UAF),AK,
University of Alaska Anchorage (UAA),AK,
University of Alaska Southeast (UAS),AK,
Arizona State University (ASU),AZ,
Northern Arizona University (NAU),AZ,
University of Arizona (UA),AZ,
University of Arkansas (Arkansas),AR,
University of Arkansas – Fort Smith,AR,
University of Arkansas at Little Rock,AR,
University of Arkansas for Medical Sciences,AR,
University of Arkansas at Monticello,AR,
University of Arkansas at Pine Bluff,AR,
Arkansas State University,AR,
Arkansas Tech University,AR,
University of Central Arkansas (UCA),AR,
Henderson State University,AR,
Southern Arkansas University (SAU),AR,
"University of California, Berkeley (UC Berkeley)",CA,
"University of California, Davis (UC Davis)",CA,
"University of California, Irvine (UC Irvine)",CA,
"University of California, Los Angeles (UCLA)",CA,
"University of California, Merced (UC Merced)",CA,
"University of California, Riverside (UC Riverside)",CA,
"University of California, San Diego (UC San Diego)",CA,
"University of California, San Francisco (UCSF)",CA,
"University of California, Santa Barbara (UC Santa Barbara)",CA,
"University of California, Santa Cruz (UC Santa Cruz)",CA,
"University of California, Hastings College of the Law",CA,
"California State University, Bakersfield (CSUB)",CA,
"California State University, Channel Islands (CSUCI or CI)",CA,
"California State University, Chico (Chico State)",CA,
"California State University, Dominguez Hills (CSUDH)",CA,
"California State University, East Bay (CSUEB)",CA,
"California State University, Fresno (Fresno State)",CA,
"California State University, Fullerton (Fullerton, CSUF, Cal State Fullerton)",CA,
Humboldt State University (HSU),CA,
"California State University, Long Beach (Long Beach State or Cal State Long Beach)",CA,
"California State University, Los Angeles (CSULA)",CA,
"California Maritime Academy (Cal Maritime, The Academy)",CA,
"California State University, Monterey Bay (CSUMB)",CA,
"California State University, Northridge (CSUN, pronounced ""C Sun"", Cal State Northridge)",CA,
"California State Polytechnic University, Pomona (Cal Poly Pomona)",CA,
"California State University, Sacramento (Sacramento State)",CA,
"California State University, San Bernardino (CSUSB)",CA,
"San Diego State University (SDSU, San Diego State)",CA,
San Francisco State University (SFSU),CA,
"San Jose State University (SJSU, San Jose State)",CA,
