country,outflowMillions,year,recession,after,is_oecd
Austria,1518,2002,0,0,1
Belgium,1843,2002,0,0,1
Bulgaria,14.5,2002,0,0,0
Croatia,66.7,2002,0,0,0
Cyprus,116.6,2002,0,0,0
Czech Republic,898.2,2002,0,0,1
Denmark,860,2002,0,0,1
Estonia,4.8,2002,0,0,1
Finland,113,2002,0,0,1
France,3810,2002,0,0,1
Germany,10403,2002,0,0,1
Greece,412,2002,0,0,1
Hungary,106.7,2002,0,0,1
Ireland,588,2002,0,0,1
Italy,3582.2,2002,0,0,1
Latvia,7.6,2002,0,0,1
Lithuania,31.3,2002,0,0,0
Luxembourg,3952.6,2002,0,0,1
Malta,11.3,2002,0,0,0
Netherlands,2893,2002,0,0,1
Poland,353,2002,0,0,1
Portugal,792,2002,0,0,1
Romania,7,2002,0,0,0
Slovak Republic,11.6,2002,0,0,1
Slovenia,46.1,2002,0,0,1
Spain,3792,2002,0,0,1
Sweden,508,2002,0,0,1
United Kingdom,2438,2002,0,0,1
Macedonia,23.3,2002,0,0,0
Norway,923,2002,0,0,1
Switzerland,9230,2002,0,0,1
Australia,1219,2002,0,0,1
Brazil,360.5,2002,0,0,0
China,1223,2002,0,0,0
India,1187,2002,0,0,0
Japan,3345,2002,0,0,1
Korea,5843.8,2002,0,0,1
New Zealand,393.1,2002,0,0,1
Russian Federation,2226,2002,0,0,0
United States,40200,2002,0,0,1
Austria,1874,2003,0,0,1
Belgium,2326,2003,0,0,1
Bulgaria,12.6,2003,0,0,0
Croatia,98.5,2003,0,0,0
Cyprus,202,2003,0,0,0
Czech Republic,1102.6,2003,0,0,1
Denmark,1030,2003,0,0,1
Estonia,18.5,2003,0,0,1
Finland,149,2003,0,0,1
France,4390,2003,0,0,1
Germany,11886,2003,0,0,1
Greece,380,2003,0,0,1
Hungary,114.1,2003,0,0,1
Ireland,787.9,2003,0,0,1
Italy,4366.6,2003,0,0,1
Latvia,8.3,2003,0,0,1
Lithuania,41.9,2003,0,0,0
Luxembourg,5010.6,2003,0,0,1
Malta,12.9,2003,0,0,0
Netherlands,4236,2003,0,0,1
Poland,325,2003,0,0,1
Portugal,936,2003,0,0,1
Romania,8,2003,0,0,0
Slovak Republic,16,2003,0,0,1
Slovenia,66.3,2003,0,0,1
Spain,5141,2003,0,0,1
Sweden,496,2003,0,0,1
United Kingdom,2626,2003,0,0,1
Macedonia,16.1,2003,0,0,0
Norway,1430,2003,0,0,1
Switzerland,11450,2003,0,0,1
Australia,1777,2003,0,0,1
Brazil,333.2,2003,0,0,0
China,1597,2003,0,0,0
India,1265,2003,0,0,0
Japan,1773,2003,0,0,1
Korea,7932.3,2003,0,0,1
New Zealand,605.3,2003,0,0,1
Russian Federation,3237,2003,0,0,0
United States,40000,2003,0,0,1
Austria,2226,2004,0,0,1
Belgium,2620,2004,0,0,1
Bulgaria,29.4,2004,0,0,0
Croatia,99.9,2004,0,0,0
Cyprus,255.2,2004,0,0,0
Czech Republic,1435.2,2004,0,0,1
Denmark,1230,2004,0,0,1
Estonia,26.5,2004,0,0,1
Finland,225,2004,0,0,1
France,4260,2004,0,0,1
Germany,13003,2004,0,0,1
Greece,497,2004,0,0,1
Hungary,814.1,2004,0,0,1
Ireland,997.4,2004,0,0,1
Italy,5513.2,2004,0,0,1
Latvia,13.1,2004,0,0,1
Lithuania,27.6,2004,0,0,0
Luxembourg,6002.1,2004,0,0,1
Malta,21.1,2004,0,0,0
Netherlands,5034,2004,0,0,1
Poland,658,2004,0,0,1
Portugal,1164,2004,0,0,1
Romania,8,2004,0,0,0
Slovak Republic,21.9,2004,0,0,1
Slovenia,80.2,2004,0,0,1
Spain,6975,2004,0,0,1
Sweden,545,2004,0,0,1
United Kingdom,3552,2004,0,0,1
Macedonia,16.2,2004,0,0,0
Norway,1750,2004,0,0,1
Switzerland,12920,2004,0,0,1
Australia,2253,2004,0,0,1
Brazil,401.1,2004,0,0,0
China,1996,2004,0,0,0
India,1653,2004,0,0,0
Japan,1411,2004,0,0,1
Korea,8306,2004,0,0,1
