,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Austria,24.7 ,46.6 ,98.6 ,182.1 ,271.5 ,244.1 ,232.6 ,239.0 ,187.1 ,231.6 ,334.4 ,285.9 ,266.0 ,214.8 ,195.1 ,190.0 ,224.2 ,229.1 ,251.1 ,302.0 ,319.9 ,415.6 ,206.0 ,289.0 ,292.0 ,1485.0 ,1452.0 ,1303.0 ,1319.0 ,1370.0 ,1298.0 ,1422.0 ,1518.0 ,1874.0 ,2226.0 ,2119.6 ,1405.8 ,1593.9 ,1913.3 ,1881.5 ,2017.0 ,2613.1 ,2519.9 ,3895.9 ,4037.3 ,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1843.0 ,2326.0 ,2620.0 ,2427.2 ,2563.6 ,3202.2 ,4124.2 ,4479.4 ,4184.9 ,4556.5 ,4238.8 ,4481.6 ,4497.1 ,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5 ,15.5 ,3.4 ,3.8 ,26.0 ,27.0 ,14.5 ,12.6 ,29.4 ,35.5 ,49.6 ,102.6 ,161.8 ,101.2 ,20.3 ,23.6 ,27.6 ,21.3 ,22.1 ,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4 ,39.6 ,40.5 ,46.7 ,43.9 ,46.5 ,66.7 ,98.5 ,99.9 ,137.6 ,183.5 ,237.0 ,267.2 ,235.2 ,235.9 ,248.7 ,247.5 ,267.4 ,297.2 ,
Cyprus,,,,,,,4.1 ,3.4 ,4.6 ,7.1 ,9.1 ,7.4 ,7.8 ,6.6 ,5.6 ,6.2 ,6.9 ,7.3 ,10.9 ,9.7 ,12.0 ,18.3 ,23.8 ,24.5 ,33.7 ,47.5 ,53.6 ,50.6 ,52.1 ,52.5 ,62.7 ,100.8 ,116.6 ,202.0 ,255.2 ,240.7 ,239.5 ,304.7 ,817.4 ,694.3 ,952.2 ,894.9 ,760.0 ,741.8 ,750.8 ,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,6.2 ,55.0 ,100.3 ,302.5 ,341.3 ,744.7 ,641.8 ,605.0 ,718.0 ,898.2 ,1102.6 ,1435.2 ,1162.5 ,1460.3 ,2075.2 ,2586.1 ,2044.6 ,1497.0 ,1522.1 ,1334.6 ,1079.2 ,822.3 ,
Denmark,,,,,,,,,,,,,,,,,,,,,,,161.0 ,160.0 ,200.0 ,209.0 ,,370.0 ,346.0 ,694.0 ,662.0 ,745.0 ,860.0 ,1030.0 ,1230.0 ,1487.6 ,1766.1 ,3019.6 ,3976.5 ,3425.2 ,2825.6 ,3133.7 ,2949.4 ,3059.9 ,3152.0 ,
Estonia,,,,,,,,,,,,,,,,,,,,,,,0.3 ,0.2 ,0.8 ,3.5 ,2.2 ,4.6 ,3.2 ,3.4 ,3.0 ,2.2 ,4.8 ,18.5 ,26.5 ,50.4 ,75.4 ,92.6 ,97.9 ,92.4 ,123.3 ,113.5 ,113.2 ,100.3 ,113.9 ,
Finland,,,,,,6.8 ,8.3 ,11.6 ,13.2 ,13.1 ,14.7 ,12.0 ,12.3 ,12.4 ,11.1 ,12.4 ,6.3 ,7.3 ,9.6 ,5.6 ,15.7 ,58.5 ,34.1 ,35.0 ,41.5 ,54.1 ,54.9 ,88.7 ,104.0 ,111.0 ,99.7 ,96.7 ,113.0 ,149.0 ,225.0 ,266.4 ,436.7 ,553.4 ,685.0 ,686.1 ,721.0 ,444.9 ,774.7 ,835.1 ,835.4 ,
France,,,,,,2503.0 ,2530.0 ,2770.0 ,3670.0 ,4380.0 ,5070.0 ,4670.0 ,4340.0 ,4110.0 ,3840.0 ,4170.0 ,5150.0 ,5760.0 ,6393.0 ,5571.0 ,6956.0 ,7020.0 ,8154.0 ,7429.0 ,4282.0 ,4941.0 ,4464.0 ,4000.0 ,4230.0 ,4080.0 ,3770.0 ,3950.0 ,3810.0 ,4390.0 ,4260.0 ,9474.9 ,10281.3 ,11947.2 ,13269.1 ,11757.1 ,12029.1 ,12849.1 ,12565.6 ,13317.6 ,13834.9 ,
Germany,,2237.0 ,2726.0 ,3687.0 ,4020.0 ,4094.0 ,4171.0 ,4260.0 ,5190.0 ,5720.0 ,5826.0 ,4794.0 ,4481.0 ,4291.0 ,4042.0 ,3601.0 ,4632.0 ,5534.0 ,5872.0 ,5485.0 ,6854.0 ,6895.0 ,8586.0 ,8513.0 ,9279.0 ,11356.0 ,11029.0 ,9885.0 ,9503.0 ,10520.0 ,9039.0 ,9445.0 ,10403.0 ,11886.0 ,13003.0 ,12709.6 ,12699.5 ,14081.9 ,15233.8 ,15324.0 ,14685.0 ,16566.4 ,15532.6 ,19870.0 ,20836.2 ,
Greece,,,,,,,45.0 ,55.0 ,55.0 ,59.0 ,59.0 ,65.0 ,64.0 ,77.0 ,58.0 ,45.0 ,60.0 ,77.0 ,95.0 ,118.0 ,122.0 ,118.0 ,173.0 ,250.0 ,222.0 ,300.0 ,319.0 ,342.0 ,,631.0 ,546.0 ,536.0 ,412.0 ,380.0 ,497.0 ,902.4 ,981.9 ,1459.8 ,1911.7 ,1843.0 ,1932.3 ,1940.5 ,1437.9 ,1291.1 ,1424.0 ,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,146.1 ,94.2 ,86.1 ,75.3 ,98.3 ,86.2 ,100.8 ,106.7 ,114.1 ,814.1 ,911.6 ,981.2 ,1367.4 ,1526.3 ,1192.2 ,1133.3 ,1194.8 ,1088.6 ,1100.0 ,1053.3 ,
Ireland,,,,,,,,,,,,,,,87.5 ,61.8 ,92.8 ,195.0 ,152.0 ,127.0 ,165.3 ,167.8 ,177.0 ,159.8 ,161.7 ,173.2 ,179.2 ,170.0 ,166.0 ,121.0 ,180.9 ,273.6 ,588.0 ,787.9 ,997.4 ,1440.6 ,1852.6 ,2520.4 ,2672.5 ,2548.7 ,2266.6 ,2193.5 ,1996.1 ,1957.7 ,1959.5 ,
Italy,106.0 ,108.0 ,127.0 ,175.0 ,198.0 ,247.0 ,208.0 ,243.0 ,304.0 ,350.0 ,428.0 ,445.6 ,517.2 ,502.2 ,499.8 ,606.3 ,795.4 ,1286.0 ,1926.0 ,2700.4 ,3764.4 ,2781.0 ,2686.0 ,2533.0 ,2234.0 ,1823.0 ,2083.0 ,2168.0 ,2375.0 ,2552.8 ,2582.0 ,2716.0 ,3582.2 ,4366.6 ,5513.2 ,7545.8 ,8351.8 ,11182.0 ,14445.3 ,14390.1 ,12885.7 ,14500.9 ,11825.7 ,11629.3 ,11153.8 ,
Latvia,,,,,,,,,,,,,,,,,,,,,,,0.2 ,0.4 ,2.1 ,1.2 ,2.2 ,4.6 ,7.7 ,7.6 ,6.6 ,7.6 ,7.6 ,8.3 ,13.1 ,491.4 ,892.1 ,1117.7 ,913.4 ,672.8 ,443.0 ,559.2 ,569.2 ,607.5 ,615.1 ,533.3 
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,0.1 ,0.6 ,1.0 ,33.1 ,58.1 ,63.3 ,46.6 ,38.1 ,29.4 ,31.3 ,41.9 ,27.6 ,259.0 ,425.8 ,566.9 ,652.2 ,679.3 ,552.5 ,1025.6 ,1135.0 ,851.9 ,904.6 ,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,2220.0 ,2300.0 ,2220.0 ,2460.0 ,2700.0 ,2720.0 ,3140.0 ,3952.6 ,5010.6 ,6002.1 ,6699.5 ,7560.8 ,9370.2 ,11006.4 ,10725.0 ,10644.5 ,11720.3 ,11268.7 ,12262.4 ,12699.6 ,
Malta,,3.2 ,4.2 ,4.6 ,3.4 ,3.9 ,4.9 ,3.1 ,5.7 ,6.7 ,7.5 ,7.5 ,5.1 ,4.4 ,6.1 ,4.7 ,6.1 ,8.4 ,9.4 ,23.5 ,24.8 ,8.4 ,5.1 ,1.9 ,2.9 ,12.7 ,15.3 ,13.1 ,11.6 ,15.2 ,13.9 ,11.3 ,11.3 ,12.9 ,21.1 ,192.3 ,222.7 ,258.6 ,1320.2 ,1861.3 ,1611.8 ,1126.6 ,1079.9 ,1047.2 ,1026.5 ,
Netherlands,181.3 ,243.4 ,309.5 ,402.9 ,467.5 ,479.0 ,507.0 ,543.7 ,667.0 ,763.0 ,970.0 ,884.0 ,872.0 ,737.0 ,648.0 ,658.0 ,886.0 ,1246.0 ,1164.0 ,1194.0 ,1393.0 ,1416.0 ,2109.0 ,2280.0 ,2513.0 ,2803.0 ,4264.0 ,3181.0 ,2813.0 ,3276.0 ,3128.0 ,2853.0 ,2893.0 ,4236.0 ,5034.0 ,4547.1 ,6076.2 ,10085.9 ,12696.0 ,11662.5 ,9398.0 ,10246.0 ,9576.0 ,9806.9 ,9945.3 ,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,155.0 ,262.0 ,243.0 ,181.0 ,176.0 ,191.0 ,311.0 ,345.0 ,353.0 ,325.0 ,658.0 ,621.0 ,694.0 ,1018.0 ,1474.0 ,1154.0 ,1306.0 ,1395.0 ,1521.0 ,1557.0 ,2185.0 ,
Portugal,,,,,,22.8 ,21.6 ,26.5 ,18.3 ,16.4 ,32.6 ,15.4 ,12.8 ,13.4 ,8.2 ,14.7 ,37.5 ,19.3 ,29.2 ,27.9 ,76.7 ,94.1 ,109.0 ,459.1 ,386.7 ,527.1 ,358.9 ,291.6 ,299.8 ,430.4 ,454.2 ,705.7 ,792.0 ,936.0 ,1164.0 ,436.0 ,444.8 ,345.6 ,387.9 ,517.7 ,505.8 ,627.3 ,499.4 ,492.8 ,441.7 ,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,5.0 ,2.0 ,2.0 ,1.0 ,6.0 ,8.0 ,6.0 ,5.0 ,7.0 ,8.0 ,8.0 ,22.3 ,40.7 ,55.0 ,168.5 ,64.4 ,88.2 ,127.8 ,116.3 ,547.0 ,638.2 ,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,1.5 ,6.0 ,2.6 ,13.1 ,13.7 ,9.2 ,8.2 ,7.8 ,,11.6 ,16.0 ,21.9 ,50.0 ,58.9 ,81.9 ,152.7 ,138.1 ,70.0 ,69.7 ,154.2 ,175.3 ,225.4 ,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,1.6 ,16.5 ,19.8 ,30.6 ,29.5 ,29.8 ,31.0 ,27.8 ,29.4 ,28.1 ,46.1 ,66.3 ,80.2 ,90.5 ,139.8 ,247.9 ,380.0 ,245.7 ,196.2 ,197.8 ,186.5 ,203.2 ,215.1 ,179.6 
