gender,agegroup,incomegroup,ethgroup,usregion,q5,q_5illegal,q6,q_6illegal,q7,q_7illegal,q8,q_8illegal,q9,q9_illegal,illegal,hasIllegal,delta57,delta68,deltadelta
1,1,3,5,,5,0,4,0,4,0,3,0,8,0,0,0,1,1,0
1,1,4,5,1,10,0,15,1,10,0,15,1,6,0,2,1,0,0,0
1,4,4,0,4,5,0,4,0,5,0,4,0,100,1,1,1,0,0,0
1,4,3,5,9,12,1,12,1,12,1,12,1,12,1,5,1,0,0,0
1,3,4,5,9,10,0,4,0,2,0,2,0,100,1,1,1,8,2,6
1,1,3,4,7,10,0,0,0,10,0,0,0,8,0,0,0,0,0,0
1,3,3,5,5,10,0,4,0,10,0,4,0,100,1,1,1,0,0,0
1,2,2,3,5,10,0,6,0,10,0,6,0,10,0,0,0,0,0,0
1,3,4,4,5,7,0,5,0,3,0,2,0,8,0,0,0,4,3,1
1,3,4,1,3,100,1,100,1,100,1,100,1,100,1,5,1,0,0,0
2,4,4,0,9,0,0,0,0,0,0,0,0,100,1,1,1,0,0,0
2,3,4,5,3,50,1,60,1,100,1,76,1,100,1,5,1,-50,-16,-34
1,4,1,0,3,14,1,4,0,3,0,15,1,9,0,2,1,11,-11,22
1,2,1,3,1,0,0,0,0,0,0,0,0,100,1,1,1,0,0,0
1,4,2,5,3,10,0,6,0,0,0,6,0,8,0,0,0,10,0,10
1,3,5,5,8,7,0,6,0,4,0,2,0,9,0,0,0,3,4,-1
1,2,3,5,8,100,1,100,1,80,1,72,1,100,1,5,1,20,28,-8
1,4,3,5,3,10,0,6,0,0,0,0,0,10,0,0,0,10,6,4
2,1,1,4,9,3,0,3,0,0,0,0,0,9,0,0,0,3,3,0
2,4,1,5,2,5,0,4,0,4,0,3,0,10,0,0,0,1,1,0
2,4,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,5,5,8,10,0,4,0,5,0,3,0,7,0,0,0,5,1,4
2,4,2,5,4,10,0,5,0,10,0,0,0,10,0,0,0,0,5,-5
1,1,1,4,7,3,0,2,0,0,0,0,0,10,0,0,0,3,2,1
2,2,4,5,9,4,0,0,0,0,0,0,0,100,1,1,1,4,0,4
2,4,3,5,3,10,0,6,0,0,0,0,0,10,0,0,0,10,6,4
1,3,5,5,2,20,1,10,0,6,0,2,0,90,1,2,1,14,8,6
1,2,5,5,8,10,0,6,0,6,0,6,0,11,1,1,1,4,0,4
2,4,3,5,5,9,0,6,0,6,0,6,0,10,0,0,0,3,0,3
1,4,3,3,5,10,0,9,0,0,0,0,0,10,0,0,0,10,9,1
2,4,2,5,2,10,0,0,0,0,0,0,0,10,0,0,0,10,0,10
2,2,3,5,3,10,0,4,0,10,0,4,0,1,0,0,0,0,0,0
2,4,3,4,2,10,0,6,0,10,0,6,0,10,0,0,0,0,0,0
1,3,2,5,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2,1,2,5,5,50,1,30,1,15,1,32,1,12,1,5,1,35,-2,37
2,4,2,5,3,10,0,6,0,0,0,0,0,10,0,0,0,10,6,4
2,4,5,5,9,5,0,0,0,0,0,0,0,10,0,0,0,5,0,5
2,1,2,5,6,10,0,8,0,10,0,8,0,10,0,0,0,0,0,0
2,4,3,5,8,10,0,6,0,0,0,0,0,8,0,0,0,10,6,4
1,2,5,5,4,0,0,0,0,0,0,0,0,100,1,1,1,0,0,0
2,4,2,5,8,1,0,1,0,1,0,1,0,10,0,0,0,0,0,0
