Quantity,Treatment
5,0
4,0
4,1
3,1
10,0
0,0
0,1
0,1
10,0
6,0
10,1
6,1
7,0
5,0
3,1
2,1
10,0
6,0
0,1
6,1
7,0
6,0
4,1
2,1
10,0
6,0
0,1
0,1
3,0
3,0
0,1
0,1
5,0
4,0
4,1
3,1
0,0
0,0
0,1
0,1
10,0
4,0
5,1
3,1
10,0
5,0
10,1
0,1
3,0
2,0
0,1
0,1
10,0
6,0
0,1
0,1
9,0
6,0
6,1
6,1
10,0
9,0
0,1
0,1
10,0
0,0
0,1
0,1
10,0
4,0
10,1
4,1
10,0
6,0
10,1
6,1
0,0
0,0
0,1
0,1
10,0
6,0
0,1
0,1
5,0
0,0
0,1
0,1
10,0
8,0
10,1
8,1
10,0
6,0
0,1
0,1
1,0
1,0
1,1
1,1
8,0
2,0
0,1
0,1
10,0
6,0
0,1
0,1
10,0
6,0
0,1
0,1
10,0
7,0
4,1
1,1
10,0
6,0
0,1
0,1
2,0
2,0
2,1
2,1
10,0
2,0
1,1
2,1
0,0
0,0
0,1
0,1
2,0
2,0
1,1
1,1
10,0
6,0
10,1
6,1
2,0
2,0
7,1
3,1
2,0
2,0
0,1
0,1
10,0
6,0
10,1
6,1
7,0
4,0
5,1
3,1
10,0
6,0
10,1
6,1
10,0
10,0
0,1
0,1
4,0
4,0
4,1
2,1
7,0
6,0
5,1
4,1
10,0
7,0
0,1
10,1
0,0
0,0
0,1
0,1
10,0
7,0
10,1
7,1
