Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Do you contribute to hiring and firing decisions at your company?,"For many professions, alternative credentials can qualify a person for an entry-level position.",It will soon become fairly conventional for high school graduates to obtain alternative credentials instead of going to college.,"When you add up the pros and cons for online education, it's probably a good thing for society overall.","When you add up the pros and cons for artificial intelligence, it's probably a good thing for society overall.","When you add up the pros and cons for cryptocurrency, it's probably a good thing for society overall.","When evaluating an applicant's education, it is important is important to check whether the degree was awarded from a US institution.",Have you heard of any of the following online course providers?,,,,,Do you work in a STEM profession?,Which of these industries most closely matches your profession?,I consider myself religious,I consider myself Christian,Government regulation helps ensure businesses treat individuals more fairly.,Age,Gender,Household Income,Region,Device Type
6948040112,175020213,10/10/2018 16:39,10/10/2018 16:42,75.70.243.51,,,,,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,5,5,,Udemy,,,,Unsure,Information Technology,8,8,Strongly Disagree,,,,,
6947746678,175020213,10/9/2018 22:23,10/9/2018 22:25,212.123.31.194,,,,,Yes,8,Strongly Agree,Strongly Agree,Strongly Agree,7,4,,,,,,No,Retail,Strongly Agree,Strongly Disagree,Strongly Disagree,,,,,
6947554009,175027024,10/9/2018 11:55,10/9/2018 11:58,,,,,fdf6157e186cfb373f3e9df6d1,Unemployed,3,4,5,7,5,6,Udacity,,,,,Unsure,Other,Strongly Disagree,Strongly Disagree,9,18-29,Male,Prefer not to answer,Pacific,Android Phone / Tablet
6947553640,175027024,10/9/2018 11:55,10/9/2018 11:57,,,,,3e7b82e322a6fc79136d3f567b,No,Strongly Agree,Strongly Agree,9,6,7,8,,,,,,No,Education,6,6,4,45-60,Male,"$100,000-$124,999",Pacific,Windows Desktop / Laptop
6947553617,175027024,10/9/2018 11:54,10/9/2018 11:57,,,,,529bda82e8a43866b1422f74c0,No,7,5,8,Strongly Agree,5,9,Udacity,Udemy,Coursera,Pluralsight,Lynda.com,Yes,Information Technology,Strongly Disagree,Strongly Disagree,9,30-44,Male,"$200,000+",Pacific,Android Phone / Tablet
6947553592,175027024,10/9/2018 11:53,10/9/2018 11:57,,,,,03203551443b479b8fc818e8ee,Unemployed,8,6,6,6,4,6,,Udemy,Coursera,,,No,Other,Strongly Disagree,Strongly Disagree,Strongly Agree,18-29,Male,"$75,000-$99,999",Middle Atlantic,iOS Phone / Tablet
6947552881,175027024,10/9/2018 11:55,10/9/2018 11:56,,,,,b5ca4908c6a6e8de6800554f17,Yes,6,6,8,4,3,4,,Udemy,,,,No,Information Technology,4,4,4,30-44,Male,"$175,000-$199,999",South Atlantic,Android Phone / Tablet
6947552872,175027024,10/9/2018 11:55,10/9/2018 11:56,,,,,04cde58cb29b3d0f39f34c032c,Yes,4,6,3,6,7,2,,,,Pluralsight,,No,Information Technology,3,6,4,18-29,Male,"$75,000-$99,999",West South Central,Android Phone / Tablet
6947552834,175027024,10/9/2018 11:54,10/9/2018 11:56,,,,,d0ee5d5c03bc1ad5319aa9bdb3,Yes,5,7,7,8,7,4,Udacity,Udemy,Coursera,Pluralsight,Lynda.com,Yes,Information Technology,Strongly Disagree,Strongly Disagree,7,30-44,Male,"$200,000+",Pacific,Android Phone / Tablet
6947552802,175027024,10/9/2018 11:54,10/9/2018 11:56,,,,,0eff884513937ac16d36b4eae4,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Udacity,,,,,Yes,Education,Strongly Agree,Strongly Agree,Strongly Agree,18-29,Male,"$200,000+",New England,iOS Phone / Tablet
6947552739,175027024,10/9/2018 11:53,10/9/2018 11:56,,,,,3a971891a12d21cb10305ffe99,No,8,7,9,6,3,7,,,,,Lynda.com,No,Other,Strongly Disagree,Strongly Disagree,8,18-29,Male,"$10,000-$24,999",East South Central,Android Phone / Tablet
6947552712,175027024,10/9/2018 11:54,10/9/2018 11:55,,,,,3cd71565fb1d3b931948f817f1,No,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,Coursera,,,Unsure,Information Technology,Strongly Agree,Strongly Agree,Strongly Agree,45-60,Male,"$75,000-$99,999",Pacific,iOS Phone / Tablet
6947552687,175027024,10/9/2018 11:53,10/9/2018 11:55,,,,,983eeacac5d25ff3a29b9d2165,No,5,5,5,5,5,5,,,,Pluralsight,,No,Information Technology,Strongly Agree,Strongly Agree,6,30-44,Male,"$75,000-$99,999",Mountain,Android Phone / Tablet
6947552662,175027024,10/9/2018 11:54,10/9/2018 11:55,,,,,6699b5aca0e9bed1c2450c6411,Yes,6,9,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,,,,,,Yes,Health,Strongly Disagree,Strongly Disagree,4,30-44,Male,"$75,000-$99,999",South Atlantic,Android Phone / Tablet
6947552543,175027024,10/9/2018 11:54,10/9/2018 11:55,,,,,83848f91a5a8316206b63f6e04,No,5,4,3,5,Strongly Disagree,8,,,,,Lynda.com,No,Other,Strongly Agree,Strongly Agree,6,18-29,Male,"$0-$9,999",East North Central,Android Phone / Tablet
6947552468,175027024,10/9/2018 11:52,10/9/2018 11:55,,,,,d479572f56c63fd253c775664f,No,2,5,5,4,Strongly Disagree,4,,,,,,Unsure,Transportation,9,9,4,30-44,Male,"$25,000-$49,999",South Atlantic,Android Phone / Tablet
6947552392,175027024,10/9/2018 11:54,10/9/2018 11:55,,,,,072b2c09b0c90de27c67456ba7,No,5,4,8,6,9,6,,,,Pluralsight,,No,Retail,6,6,4,18-29,Male,"$0-$9,999",West South Central,iOS Phone / Tablet
6947552347,175027024,10/9/2018 11:54,10/9/2018 11:55,,,,,d214eac03c441c4492914f91e6,Yes,7,9,5,4,6,8,,,,,Lynda.com,No,Retail,4,2,3,30-44,Male,"$25,000-$49,999",Mountain,iOS Phone / Tablet
6947552069,175027024,10/9/2018 11:52,10/9/2018 11:54,,,,,9ba351acd7e6176f2f6dbcf958,No,4,8,7,7,7,6,,,,,,No,Military,8,8,8,> 60,Male,"$75,000-$99,999",Middle Atlantic,Windows Desktop / Laptop
6947551984,175027024,10/9/2018 11:52,10/9/2018 11:54,,,,,164ff015c51c97bcf8886907c9,Unemployed,7,5,6,6,7,8,Udacity,,,,,Yes,Health,2,Strongly Disagree,6,18-29,Male,"$25,000-$49,999",Middle Atlantic,Android Phone / Tablet
6947551950,175027024,10/9/2018 11:52,10/9/2018 11:54,,,,,216f6e0726230dc96e6242b75b,No,8,Strongly Agree,Strongly Agree,8,4,7,Udacity,Udemy,,,,No,Transportation,5,5,Strongly Disagree,18-29,Male,"$25,000-$49,999",Mountain,iOS Phone / Tablet
6947551729,175027024,10/9/2018 11:52,10/9/2018 11:53,,,,,40711e363972ed8156762a684c,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,5,5,Udacity,Udemy,Coursera,Pluralsight,Lynda.com,Yes,Information Technology,4,4,Strongly Agree,30-44,Male,"$125,000-$149,999",Middle Atlantic,iOS Phone / Tablet
6947551675,175027024,10/9/2018 11:53,10/9/2018 11:53,,,,,6ca79aee4880f85e2702b611d5,Yes,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,9,7,,,,Pluralsight,,Yes,Information Technology,6,7,7,18-29,Male,"$10,000-$24,999",Pacific,iOS Phone / Tablet
6947551654,175027024,10/9/2018 11:49,10/9/2018 11:53,,,,,8c0f1a108881533509cec29e1a,No,4,4,7,8,2,9,,Udemy,,,,No,Health,3,6,4,30-44,Male,"$25,000-$49,999",South Atlantic,iOS Phone / Tablet
6947551630,175027024,10/9/2018 11:51,10/9/2018 11:53,,,,,94615d9095c2b63699562c0a2f,Yes,4,5,3,6,3,7,Udacity,,,,,No,Information Technology,4,4,7,18-29,Female,"$25,000-$49,999",Pacific,iOS Phone / Tablet
6947551582,175027024,10/9/2018 11:51,10/9/2018 11:53,,,,,3b5ad9b7d51d66dc167a26d0b3,No,6,7,7,7,9,7,,,Coursera,,Lynda.com,No,Education,Strongly Disagree,Strongly Disagree,7,> 60,Male,"$50,000-$74,999",East North Central,MacOS Desktop / Laptop
6947551568,175027024,10/9/2018 11:52,10/9/2018 11:53,,,,,9eb71a42f444e8f5f82d82b40c,Unemployed,6,5,7,5,Strongly Disagree,5,,Udemy,,,,No,Other,9,Strongly Agree,8,18-29,Male,"$100,000-$124,999",South Atlantic,Android Phone / Tablet
6947551559,175027024,10/9/2018 11:49,10/9/2018 11:53,,,,,e3d869eda45d781859f5e12539,No,5,4,9,3,5,2,,,Coursera,,,No,Other,9,Strongly Agree,5,30-44,Female,"$75,000-$99,999",South Atlantic,Android Phone / Tablet
6947551501,175027024,10/9/2018 11:51,10/9/2018 11:53,,,,,147fe391118b20013ec342cafe,No,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,,,,,Lynda.com,No,Other,Strongly Agree,Strongly Agree,Strongly Disagree,30-44,Male,"$10,000-$24,999",South Atlantic,Android Phone / Tablet
6947551496,175027024,10/9/2018 11:50,10/9/2018 11:53,,,,,bf8c8fafae58a69d29dddddf93,No,6,9,7,7,8,3,,Udemy,Coursera,,,No,Other,7,7,3,18-29,Male,"$10,000-$24,999",West South Central,Android Phone / Tablet
6947551352,175027024,10/9/2018 11:51,10/9/2018 11:52,,,,,ff88ddfbd5c03f587e68768706,No,8,Strongly Agree,7,5,3,Strongly Agree,,,,,Lynda.com,Yes,Education,Strongly Disagree,Strongly Disagree,7,18-29,Female,"$10,000-$24,999",Mountain,Android Phone / Tablet
6947551060,175027024,10/9/2018 11:51,10/9/2018 11:52,,,,,118e3a2dff08d43514307ed44c,Yes,6,5,6,6,5,6,,,,,,No,Retail,7,7,6,30-44,Female,"$25,000-$49,999",West South Central,Android Phone / Tablet
6947551023,175027024,10/9/2018 11:51,10/9/2018 11:52,,,,,54ca2d5f7aff80ac6158ce10e4,No,9,6,7,4,3,7,,,Coursera,,,No,Education,7,7,6,18-29,Female,"$25,000-$49,999",Middle Atlantic,iOS Phone / Tablet
6947550990,175027024,10/9/2018 11:50,10/9/2018 11:52,,,,,e542604feb14b6221c77388950,Yes,4,7,5,5,5,5,,,Coursera,,Lynda.com,No,Education,5,4,2,30-44,Male,"$150,000-$174,999",Middle Atlantic,iOS Phone / Tablet
6947550975,175027024,10/9/2018 11:49,10/9/2018 11:52,,,,,781dff3badb7ea6d05612917ae,Unemployed,3,3,4,5,4,4,,,,Pluralsight,,No,Other,6,2,Strongly Agree,30-44,Male,"$0-$9,999",South Atlantic,Android Phone / Tablet
6947550865,175027024,10/9/2018 11:51,10/9/2018 11:51,,,,,93bff3ffe3cc8b6f9e4025bdbc,Yes,7,6,7,7,8,8,,,,Pluralsight,,Yes,Energy,7,8,9,18-29,Female,"$25,000-$49,999",South Atlantic,iOS Phone / Tablet
6947550859,175027024,10/9/2018 11:48,10/9/2018 11:51,,,,,9196c2aa9070f63073a0f6927e,No,Strongly Agree,Strongly Agree,7,6,6,3,,,,,,No,Other,5,4,5,18-29,Female,"$75,000-$99,999",West North Central,iOS Phone / Tablet
6947550815,175027024,10/9/2018 11:50,10/9/2018 11:51,,,,,a3c8d5cee54dd60e32ef823d7f,Unemployed,Strongly Agree,3,4,7,5,2,Udacity,,,,,Yes,Other,4,Strongly Disagree,Strongly Agree,18-29,Female,"$50,000-$74,999",Middle Atlantic,Android Phone / Tablet
6947550725,175027024,10/9/2018 11:49,10/9/2018 11:51,,,,,2d0766b85a52cbfb0b67a6f80a,Yes,Strongly Agree,4,3,Strongly Agree,7,8,,,,,,Unsure,"Finance, Investment, or Accounting",9,Strongly Agree,6,18-29,Female,"$125,000-$149,999",West North Central,Windows Desktop / Laptop
6947550694,175027024,10/9/2018 11:50,10/9/2018 11:51,,,,,3ab122d197fc0ca5814dbb8a86,Unemployed,8,6,9,Strongly Disagree,4,4,,,,,,No,Other,8,Strongly Agree,6,18-29,Female,"$25,000-$49,999",West South Central,Android Phone / Tablet
6947550608,175027024,10/9/2018 11:50,10/9/2018 11:51,,,,,52600cfac970a5b62a3cbc56e1,No,4,3,8,8,5,2,Udacity,,,Pluralsight,,No,Military,8,Strongly Disagree,Strongly Disagree,18-29,Male,"$50,000-$74,999",Middle Atlantic,iOS Phone / Tablet
6947550602,175027024,10/9/2018 11:48,10/9/2018 11:51,,,,,e8feca10c51b88230576fd512a,Yes,6,7,6,3,3,8,,,,Pluralsight,,Yes,Education,Strongly Agree,Strongly Agree,7,18-29,Female,Prefer not to answer,East South Central,Android Phone / Tablet
6947550597,175027024,10/9/2018 11:50,10/9/2018 11:51,,,,,c33f2cc51216dfbe7f3898dc7b,No,5,7,6,4,3,3,,,,,Lynda.com,No,Other,Strongly Disagree,2,Strongly Agree,18-29,Female,"$25,000-$49,999",South Atlantic,iOS Phone / Tablet
6947550579,175027024,10/9/2018 11:50,10/9/2018 11:51,,,,,0d569f6a06a35d6131f0689f35,No,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,,,Pluralsight,,Yes,Education,Strongly Disagree,Strongly Disagree,Strongly Disagree,18-29,Female,"$25,000-$49,999",East North Central,iOS Phone / Tablet
6947550494,175027024,10/9/2018 11:47,10/9/2018 11:51,,,,,97a5c1b67bb514b68afe43604c,No,7,7,5,8,3,Strongly Agree,Udacity,Udemy,,,Lynda.com,Yes,Information Technology,Strongly Agree,Strongly Agree,2,45-60,Female,"$100,000-$124,999",East North Central,Windows Desktop / Laptop
6947550442,175027024,10/9/2018 11:49,10/9/2018 11:51,,,,,28cccc49af04929ea93ea2dfaf,No,5,6,7,9,5,4,,,Coursera,,Lynda.com,No,Education,Strongly Agree,Strongly Disagree,5,18-29,Male,"$25,000-$49,999",Middle Atlantic,Android Phone / Tablet
6947550399,175027024,10/9/2018 11:50,10/9/2018 11:51,,,,,526839dcd05800dde384aad4de,Yes,Strongly Agree,9,Strongly Agree,Strongly Agree,6,9,,,,Pluralsight,,Yes,Education,8,7,8,18-29,Female,"$25,000-$49,999",South Atlantic,Android Phone / Tablet
